$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,QWD(m3s-1)
    47.700,   14.1600
    47.800,   14.1600
    47.900,   14.1600
    48.000,   14.1600
    48.100,   14.1600
    48.200,   14.1600
    48.300,   14.1600
    48.400,   14.1600
    48.500,   14.1600
    48.600,   14.1600
    48.700,   14.1600
    48.800,   14.1600
    48.900,   14.1600
    49.000,   14.1600
    49.100,   14.1600
    49.200,   14.1600
    49.300,   14.1600
    49.400,   14.1600
    49.500,   14.1600
    49.600,   14.1600
    49.700,   14.1600
    49.800,   14.1600
    49.900,   14.1600
    50.000,   14.1600
    50.100,   14.1600
    50.200,   14.1600
    50.300,   14.1600
    50.400,   14.1600
    50.500,   14.1600
    50.600,   14.1600
    50.700,   14.1600
    50.800,   14.1600
    50.900,   14.1600
    51.000,   14.1600
    51.100,   14.1600
    51.200,   14.1600
    51.300,   14.1600
    51.400,   14.1600
    51.500,   14.1600
    51.600,   14.1600
    51.700,   14.1600
    51.800,   14.1600
    51.900,   14.1600
    52.000,   14.1600
    52.100,   14.1600
    52.200,   14.1600
    52.300,   14.1600
    52.400,   14.1600
    52.500,   14.1600
    52.600,   14.1600
    52.700,   14.1600
    52.800,   14.1600
    52.900,   14.1600
    53.000,   14.1600
    53.100,   14.1600
    53.200,   14.1600
    53.300,   14.1600
    53.400,   14.1600
    53.500,   14.1600
    53.600,   14.1600
    53.700,   14.1600
    53.800,   14.1600
    53.900,   14.1600
    54.000,   14.1600
    54.100,   14.1600
    54.200,   14.1600
    54.300,   14.1600
    54.400,   14.1600
    54.500,   14.1600
    54.600,   14.1600
    54.700,   14.1600
    54.800,   14.1600
    54.900,   14.1600
    55.000,   14.1600
    55.100,   14.1600
    55.200,   14.1600
    55.300,   14.1600
    55.400,   14.1600
    55.500,   14.1600
    55.600,   14.1600
    55.700,   14.1600
    55.800,   14.1600
    55.900,   14.1600
    56.000,   14.1600
    56.100,   14.1600
    56.200,   14.1600
    56.300,   14.1600
    56.400,   14.1600
    56.500,   14.1600
    56.600,   14.1600
    56.700,   14.1600
    56.800,   14.1600
    56.900,   14.1600
    57.000,   14.1600
    57.100,   14.1600
    57.200,   14.1600
    57.300,   14.1600
    57.400,   14.1600
    57.500,   14.1600
    57.600,   14.1600
    57.700,   14.1600
    57.800,   14.1600
    57.900,   14.1600
    58.000,   14.1600
    58.100,   14.1600
    58.200,   14.1600
    58.300,   14.1600
    58.400,   14.1600
    58.500,   14.1600
    58.600,   14.1600
    58.700,   14.1600
    58.800,   14.1600
    58.900,   14.1600
    59.000,   14.1600
    59.100,   14.1600
    59.200,   14.1600
    59.300,   14.1600
    59.400,   14.1600
    59.500,   14.1600
    59.600,   14.1600
    59.700,   14.1600
    59.800,   14.1600
    59.900,   14.1600
    60.000,   14.1600
    60.100,   14.1600
    60.200,   14.1600
    60.300,   14.1600
    60.400,   14.1600
    60.500,   14.1600
    60.600,   14.1600
    60.700,   14.1600
    60.800,   14.1600
    60.900,   14.1600
    61.000,   14.1600
    61.100,   14.1600
    61.200,   14.1600
    61.300,   14.1600
    61.400,   14.1600
    61.500,   14.1600
    61.600,   14.1600
    61.700,   14.1600
    61.800,   14.1600
    61.900,   14.1600
    62.000,   14.1600
    62.100,   14.1600
    62.200,   14.1600
    62.300,   14.1600
    62.400,   14.1600
    62.500,   14.1600
    62.600,   14.1600
    62.700,   14.1600
    62.800,   14.1600
    62.900,   14.1600
    63.000,   14.1600
    63.100,   14.1600
    63.200,   14.1600
    63.300,   14.1600
    63.400,   14.1600
    63.500,   14.1600
    63.600,   14.1600
    63.700,   14.1600
    63.800,   14.1600
    63.900,   14.1600
    64.000,   14.1600
    64.100,   14.1600
    64.200,   14.1600
    64.300,   14.1600
    64.400,   14.1600
    64.500,   14.1600
    64.600,   14.1600
    64.700,   14.1600
    64.800,   14.1600
    64.900,   14.1600
    65.000,   14.1600
    65.100,   14.1600
    65.200,   14.1600
    65.300,   14.1600
    65.400,   14.1600
    65.500,   14.1600
    65.600,   14.1600
    65.700,   14.1600
    65.800,   14.1600
    65.900,   14.1600
    66.000,   14.1600
    66.100,   14.1600
    66.200,   14.1600
    66.300,   14.1600
    66.400,   14.1600
    66.500,   14.1600
    66.600,   14.1600
    66.700,   14.1600
    66.800,   14.1600
    66.900,   14.1600
    67.000,   14.1600
    67.100,   14.1600
    67.200,   14.1600
    67.300,   14.1600
    67.400,   14.1600
    67.500,   14.1600
    67.600,   14.1600
    67.700,   14.1600
    67.800,   14.1600
    67.900,   14.1600
    68.000,   14.1600
    68.100,   14.1600
    68.200,   14.1600
    68.300,   14.1600
    68.400,   14.1600
    68.500,   14.1600
    68.600,   14.1600
    68.700,   14.1600
    68.800,   14.1600
    68.900,   14.1600
    69.000,   14.1600
    69.100,   14.1600
    69.200,   14.1600
    69.300,   14.1600
    69.400,   14.1600
    69.500,   14.1600
    69.600,   14.1600
    69.700,   14.1600
    69.800,   14.1600
    69.900,   14.1600
    70.000,   14.1600
    70.100,   14.1600
    70.200,   14.1600
    70.300,   14.1600
    70.400,   14.1600
