$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
    45.000,    1.4238,    1.4238,
    45.100,    1.4273,    1.4273,
    45.200,    1.4255,    1.4255,
    45.300,    1.4224,    1.4224,
    45.400,    1.4200,    1.4200,
    45.500,    1.4186,    1.4186,
    45.600,    1.4012,    1.4012,
    45.700,    1.4221,    1.4221,
    45.800,    1.4330,    1.4330,
    45.900,    1.4410,    1.4410,
    46.000,    1.4483,    1.4483,
    46.100,    1.4511,    1.4511,
    46.200,    1.4521,    1.4521,
    46.300,    1.4580,    1.4580,
    46.400,    1.4640,    1.4640,
    46.500,    1.4660,    1.4660,
    46.600,    1.4709,    1.4709,
    46.700,    1.4813,    1.4813,
    46.800,    1.4912,    1.4912,
    46.900,    1.4944,    1.4944,
    47.000,    1.5012,    1.5012,
    47.100,    1.5050,    1.5050,
    47.200,    1.4881,    1.4881,
    47.300,    1.4834,    1.4834,
    47.400,    1.4717,    1.4717,
    47.500,    1.4662,    1.4662,
    47.600,    1.4605,    1.4605,
    47.700,    1.4565,    1.4565,
    47.800,    1.4680,    1.4680,
    47.900,    1.4773,    1.4773,
    48.000,    1.4776,    1.4775,
    48.100,    1.4707,    1.4707,
    48.200,    1.4688,    1.4688,
    48.300,    1.4730,    1.4730,
    48.400,    1.4715,    1.4715,
    48.500,    1.4721,    1.4721,
    48.600,    1.4605,    1.4605,
    48.700,    1.4345,    1.4345,
    48.800,    1.4424,    1.4424,
    48.900,    1.4483,    1.4483,
    49.000,    1.4523,    1.4523,
    49.100,    1.4537,    1.4537,
    49.200,    1.4610,    1.4610,
    49.300,    1.4707,    1.4707,
    49.400,    1.4475,    1.4475,
    49.500,    1.4542,    1.4542,
    49.600,    1.4190,    1.4190,
    49.700,    1.4234,    1.4234,
    49.800,    1.4225,    1.4225,
    49.900,    1.4228,    1.4228,
    50.000,    1.4226,    1.4226,
    50.100,    1.4226,    1.4226,
    50.200,    1.4261,    1.4261,
    50.300,    1.4306,    1.4305,
    50.400,    1.4357,    1.4357,
    50.500,    1.4349,    1.4349,
    50.600,    1.4287,    1.4286,
    50.700,    1.4051,    1.4051,
    50.800,    1.4047,    1.4047,
    50.900,    1.4045,    1.4045,
    51.000,    1.4032,    1.4032,
    51.100,    1.4007,    1.4007,
    51.200,    1.3983,    1.3983,
    51.300,    1.3958,    1.3958,
    51.400,    1.4001,    1.4001,
    51.500,    1.3969,    1.3969,
    51.600,    1.3751,    1.3751,
    51.700,    1.3705,    1.3705,
    51.800,    1.3674,    1.3674,
    51.900,    1.3652,    1.3652,
    52.000,    1.3628,    1.3628,
    52.100,    1.3600,    1.3600,
    52.200,    1.3571,    1.3571,
    52.300,    1.3542,    1.3542,
    52.400,    1.3514,    1.3514,
    52.500,    1.3486,    1.3486,
    52.600,    1.3447,    1.3447,
    52.700,    1.3417,    1.3417,
    52.800,    1.3446,    1.3446,
    52.900,    1.3439,    1.3439,
    53.000,    1.3436,    1.3436,
    53.100,    1.3434,    1.3434,
    53.200,    1.3431,    1.3431,
    53.300,    1.3427,    1.3427,
    53.400,    1.3422,    1.3422,
    53.500,    1.3458,    1.3458,
    53.600,    1.3450,    1.3450,
    53.700,    1.3441,    1.3441,
    53.800,    1.3438,    1.3438,
    53.900,    1.3440,    1.3440,
    54.000,    1.3444,    1.3444,
    54.100,    1.3450,    1.3450,
    54.200,    1.3455,    1.3455,
    54.300,    1.3456,    1.3456,
    54.400,    1.3453,    1.3453,
    54.500,    1.3457,    1.3457,
    54.600,    1.3587,    1.3587,
    54.700,    1.4097,    1.4098,
    54.800,    1.5033,    1.5035,
    54.900,    1.6300,    1.6301,
    55.000,    1.7550,    1.7552,
    55.100,    1.8898,    1.8900,
    55.200,    2.0220,    2.0221,
    55.300,    2.1509,    2.1511,
    55.400,    2.2859,    2.2860,
    55.500,    2.4087,    2.4089,
    55.600,    2.5325,    2.5327,
    55.700,    2.6566,    2.6568,
    55.800,    2.7775,    2.7776,
    55.900,    2.8849,    2.8850,
    56.000,    2.9782,    2.9783,
    56.100,    3.0619,    3.0620,
    56.200,    3.1364,    3.1365,
    56.300,    3.2014,    3.2015,
    56.400,    3.2313,    3.2314,
    56.500,    3.2909,    3.2910,
    56.600,    3.3396,    3.3396,
    56.700,    3.3704,    3.3705,
    56.800,    3.3847,    3.3847,
    56.900,    3.4137,    3.4137,
    57.000,    3.4013,    3.4013,
    57.100,    3.3865,    3.3865,
