$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    32.600,   23.3509,   21.5185,    2.2123,    1.7233,
    32.700,   23.3614,   21.5502,    2.1806,    1.7143,
    32.800,   23.3828,   21.5109,    2.1146,    1.6952,
    32.900,   23.4178,   21.3826,    2.0071,    1.6641,
    33.000,   23.4623,   21.1947,    1.8745,    1.6257,
    33.100,   23.4770,   21.2111,    1.8405,    1.6165,
    33.200,   23.4989,   21.1844,    1.7889,    1.6019,
    33.300,   23.5215,   21.1543,    1.7386,    1.5870,
    33.400,   23.5429,   21.1344,    1.6942,    1.5735,
    33.500,   23.5519,   21.1977,    1.6808,    1.5701,
    33.600,   23.5630,   21.2412,    1.6562,    1.5632,
    33.700,   23.5710,   21.2980,    1.6317,    1.5570,
    33.800,   23.5939,   21.2652,    1.5770,    1.5403,
    33.900,   23.6056,   21.3009,    1.5469,    1.5319,
    34.000,   23.6142,   21.3561,    1.5239,    1.5260,
    34.100,   23.6195,   21.4282,    1.5060,    1.5223,
    34.200,   23.6236,   21.5061,    1.4892,    1.5191,
    34.300,   23.6257,   21.5960,    1.4765,    1.5175,
    34.400,   23.6279,   21.6893,    1.4650,    1.5164,
    34.500,   23.6257,   21.8142,    1.4641,    1.5201,
    34.600,   23.6219,   21.9431,    1.4654,    1.5235,
    34.700,   23.6177,   22.0711,    1.4668,    1.5265,
    34.800,   23.6150,   22.1842,    1.4641,    1.5265,
    34.900,   23.6155,   22.2831,    1.4565,    1.5251,
    35.000,   23.6174,   22.3772,    1.4469,    1.5235,
    35.100,   23.6225,   22.4518,    1.4311,    1.5192,
    35.200,   23.6280,   22.5234,    1.4147,    1.5143,
    35.300,   23.6335,   22.5948,    1.3987,    1.5094,
    35.400,   23.6363,   22.6830,    1.3887,    1.5069,
    35.500,   23.6355,   22.7942,    1.3863,    1.5074,
    35.600,   23.6315,   22.9270,    1.3909,    1.5114,
    35.700,   23.6283,   23.0519,    1.3936,    1.5138,
    35.800,   23.6295,   23.1456,    1.3868,    1.5115,
    35.900,   23.6296,   23.2485,    1.3827,    1.5107,
    36.000,   23.6291,   23.3563,    1.3802,    1.5107,
    36.100,   23.6295,   23.4596,    1.3758,    1.5100,
    36.200,   23.6318,   23.5502,    1.3667,    1.5074,
