$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    35.500,   28.320,            0.000,
    35.600,   28.320,            0.000,
    35.700,   28.320,            0.000,
    35.800,   28.320,            0.000,
    35.900,   28.320,            0.000,
    36.000,   28.320,            0.000,
    36.100,   28.320,            0.000,
    36.200,   28.320,            0.000,
    36.300,   28.320,            0.000,
    36.400,   28.320,            0.000,
    36.500,   28.320,            0.000,
    36.600,   28.320,            0.000,
    36.700,   28.320,            0.000,
    36.800,   28.320,            0.000,
    36.900,   28.320,            0.000,
    37.000,   28.320,            0.000,
    37.100,   28.320,            0.000,
    37.200,   28.320,            0.000,
    37.300,   28.320,            0.000,
    37.400,   28.320,            0.000,
    37.500,   28.320,            0.000,
    37.600,   28.320,            0.000,
    37.700,   28.320,            0.000,
    37.800,   28.320,            0.000,
    37.900,   28.320,            0.000,
    38.000,   28.320,            0.000,
    38.100,   28.320,            0.000,
    38.200,   28.320,            0.000,
    38.300,   28.320,            0.000,
    38.400,   28.320,            0.000,
    38.500,   28.320,            0.000,
    38.600,   28.320,            0.000,
    38.700,   28.320,            0.000,
    38.800,   28.320,            0.000,
    38.900,   28.320,            0.000,
    39.000,   28.320,            0.000,
    39.100,   28.320,            0.000,
    39.200,   28.320,            0.000,
    39.300,   28.320,            0.000,
    39.400,   28.320,            0.000,
    39.500,   28.320,            0.000,
    39.600,   28.320,            0.000,
    39.700,   28.320,            0.000,
    39.800,   28.320,            0.000,
    39.900,   28.320,            0.000,
    40.000,   28.320,            0.000,
    40.100,   28.320,            0.000,
    40.200,   28.320,            0.000,
    40.300,   28.320,            0.000,
    40.400,   28.320,            0.000,
    40.500,   28.320,            0.000,
    40.600,   28.320,            0.000,
    40.700,   28.320,            0.000,
    40.800,   28.320,            0.000,
    40.900,   28.320,            0.000,
    41.000,   28.320,            0.000,
    41.100,   28.320,            0.000,
    41.200,   28.320,            0.000,
    41.300,   28.320,            0.000,
    41.400,   28.320,            0.000,
    41.500,   28.320,            0.000,
    41.600,   28.320,            0.000,
    41.700,   28.320,            0.000,
    41.800,   28.320,            0.000,
    41.900,   28.320,            0.000,
    42.000,   28.320,            0.000,
    42.100,   28.320,            0.000,
    42.200,   28.320,            0.000,
    42.300,   28.320,            0.000,
