$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    18.200,   22.2351,   12.8944,   10.0177,    3.0988,
    18.300,   22.2398,   12.9711,    9.9095,    3.0865,
    18.400,   22.2451,   13.0475,    9.8012,    3.0739,
    18.500,   22.2514,   13.1237,    9.6889,    3.0608,
    18.600,   22.2586,   13.1983,    9.5613,    3.0457,
    18.700,   22.2656,   13.2740,    9.4255,    3.0300,
    18.800,   22.2712,   13.3512,    9.2815,    3.0136,
    18.900,   22.2747,   13.4359,    9.2448,    3.0089,
    19.000,   22.2809,   13.5129,    9.1704,    2.9991,
    19.100,   22.2876,   13.5859,    9.0547,    2.9844,
    19.200,   22.2949,   13.6564,    8.9299,    2.9685,
    19.300,   22.3025,   13.7247,    8.7981,    2.9516,
    19.400,   22.3079,   13.7983,    8.6806,    2.9367,
    19.500,   22.3075,   13.8887,    8.5874,    2.9265,
    19.600,   22.3125,   13.9634,    8.4956,    2.9143,
    19.700,   22.3203,   14.0281,    8.3877,    2.8992,
    19.800,   22.3305,   14.0875,    8.2687,    2.8821,
    19.900,   22.3414,   14.1421,    8.1249,    2.8619,
    20.000,   22.3572,   14.1872,    7.9923,    2.8415,
    20.100,   22.3716,   14.2323,    7.8647,    2.8216,
    20.200,   22.3850,   14.2790,    7.7449,    2.8026,
    20.300,   22.3979,   14.3270,    7.6299,    2.7842,
    20.400,   22.4099,   14.3779,    7.5199,    2.7667,
    20.500,   22.4197,   14.4348,    7.4164,    2.7505,
    20.600,   22.4290,   14.4941,    7.3201,    2.7353,
    20.700,   22.4378,   14.5534,    7.2188,    2.7196,
    20.800,   22.4503,   14.6037,    7.1145,    2.7025,
    20.900,   22.4640,   14.6508,    7.0116,    2.6850,
    21.000,   22.4776,   14.6974,    6.9116,    2.6679,
    21.100,   22.4885,   14.7380,    6.8110,    2.6500,
    21.200,   22.5006,   14.7779,    6.7140,    2.6324,
    21.300,   22.5110,   14.8231,    6.6227,    2.6160,
    21.400,   22.5222,   14.8671,    6.5329,    2.5996,
    21.500,   22.5279,   14.9228,    6.4516,    2.5856,
    21.600,   22.5328,   14.9822,    6.3765,    2.5727,
    21.700,   22.5382,   15.0427,    6.3045,    2.5602,
    21.800,   22.5483,   15.0892,    6.2145,    2.5441,
    21.900,   22.5654,   15.1272,    6.1282,    2.5272,
    22.000,   22.5810,   15.1672,    6.0439,    2.5110,
