JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    14.200,    10.000,   443.932,     5.562,     0.010,    92.526,     0.000,     1.229,    56.532,   834.980,     1.000,     5.536,  -129.846,     0.000,   247.135,   332.484,    23.212,    21.284,    22.578,     9.890,     7.104,     2.689,     9.794,     9.794, 0.000E+00, 0.000E+00,
    14.300,    10.000,   443.928,     5.547,     0.016,    92.451,     0.249,     1.220,    56.528,   834.980,     1.000,     5.527,  -127.611,     0.235,   248.479,   332.414,    23.849,    20.062,    22.580,     9.975,     7.020,     2.679,     9.699,     9.699, 0.000E+00, 0.000E+00,
    14.400,    10.000,   443.923,     5.534,     0.022,    91.880,    57.218,     1.211,    56.523,   834.980,     1.000,     5.518,   -74.414,    53.979,   246.891,   332.352,    24.238,    18.695,    22.582,    10.056,     6.937,     2.669,     9.605,     9.605, 0.000E+00, 0.000E+00,
    14.500,    10.000,   443.916,     5.524,     0.019,    91.913,    90.735,     1.179,    56.516,   834.980,     1.000,     5.515,   -21.101,    85.599,   260.770,   332.308,    19.866,    15.296,    22.593,    10.122,     6.652,     2.632,     9.284,     9.284, 0.000E+00, 0.000E+00,
    14.600,    10.000,   443.908,     5.524,     0.011,    92.072,   118.495,     1.115,    56.508,   834.980,     1.000,     5.512,     6.630,   111.787,   258.700,   332.308,    19.350,    12.201,    22.611,    10.162,     6.087,     2.558,     8.646,     8.646, 0.000E+00, 0.000E+00,
    14.700,    10.000,   443.898,     5.520,     0.019,    91.588,    32.431,     1.169,    56.498,   834.980,     1.000,     5.506,   -87.978,    30.595,   252.417,   332.286,    21.472,    17.233,    22.597,    10.303,     6.567,     2.621,     9.189,     9.189, 0.000E+00, 0.000E+00,
    14.800,    10.000,   443.886,     5.506,     0.016,    91.182,     0.000,     1.169,    56.486,   834.980,     1.000,     5.495,  -134.340,     0.000,   245.780,   332.219,    24.133,    23.768,    22.595,    10.376,     6.571,     2.622,     9.193,     9.193, 0.000E+00, 0.000E+00,
    14.900,    10.000,   443.872,     5.488,     0.020,    91.425,     0.000,     1.159,    56.472,   834.980,     1.000,     5.485,  -151.370,     0.000,   239.553,   332.132,    28.137,    30.654,    22.593,    10.361,     6.478,     2.611,     9.089,     9.089, 0.000E+00, 0.000E+00,
    15.000,    10.000,   443.857,     5.467,     0.026,    91.092,     0.000,     1.147,    56.457,   834.980,     1.000,     5.473,  -171.074,     0.000,   231.915,   332.034,    32.612,    38.343,    22.598,    10.420,     6.369,     2.597,     8.967,     8.967, 0.000E+00, 0.000E+00,
    15.100,    10.000,   443.850,     5.445,     0.029,    81.739,     0.000,     1.134,    56.450,   834.980,     1.000,     5.461,  -168.476,     0.000,   232.208,   331.931,    32.863,    35.890,    22.604,    10.482,     6.257,     2.582,     8.839,     8.839, 0.000E+00, 0.000E+00,
    15.200,    10.000,   443.845,     5.425,     0.027,    81.424,     0.000,     1.122,    56.445,   834.980,     1.000,     5.451,  -161.108,     0.000,   232.460,   331.833,    29.605,    32.130,    22.593,    10.395,     6.145,     2.572,     8.717,     8.717, 0.000E+00, 0.000E+00,
    15.300,    10.000,   443.838,     5.405,     0.028,    81.350,     0.498,     1.109,    56.438,   834.980,     1.000,     5.440,  -174.926,     0.470,   227.355,   331.740,    33.789,    37.223,    22.598,    10.468,     6.035,     2.557,     8.592,     8.592, 0.000E+00, 0.000E+00,
    15.400,    10.000,   443.831,     5.386,     0.030,    81.308,    41.809,     1.100,    56.431,   834.980,     1.000,     5.430,  -126.099,    39.442,   233.497,   331.649,    33.052,    34.336,    22.585,    10.410,     5.947,     2.552,     8.500,     8.500, 0.000E+00, 0.000E+00,
    15.500,    10.000,   443.822,     5.385,     0.014,    81.046,   188.414,     1.055,    56.422,   834.980,     1.000,     5.427,    28.614,   177.749,   239.346,   331.644,    31.809,    25.028,    22.597,    10.460,     5.543,     2.497,     8.041,     8.041, 0.000E+00, 0.000E+00,
