Derived constituent file for segment 11

JDAY,     TSS,    TISS,
    46.700,    1.4555,    1.4555,
    46.800,    1.4636,    1.4636,
    46.900,    1.4605,    1.4605,
    47.000,    1.4662,    1.4662,
    47.100,    1.4693,    1.4693,
    47.200,    1.4487,    1.4487,
    47.300,    1.4447,    1.4447,
    47.400,    1.4243,    1.4243,
    47.500,    1.4209,    1.4209,
    47.600,    1.4162,    1.4162,
    47.700,    1.4145,    1.4145,
    47.800,    1.4264,    1.4264,
    47.900,    1.4386,    1.4386,
    48.000,    1.4399,    1.4399,
    48.100,    1.4300,    1.4300,
    48.200,    1.4289,    1.4289,
    48.300,    1.4303,    1.4303,
    48.400,    1.4294,    1.4294,
    48.500,    1.4301,    1.4301,
    48.600,    1.4283,    1.4283,
    48.700,    1.4078,    1.4078,
    48.800,    1.4150,    1.4150,
    48.900,    1.4200,    1.4200,
    49.000,    1.4229,    1.4229,
    49.100,    1.4242,    1.4242,
    49.200,    1.4358,    1.4357,
    49.300,    1.4530,    1.4530,
    49.400,    1.4222,    1.4222,
    49.500,    1.4238,    1.4238,
    49.600,    1.4005,    1.4004,
    49.700,    1.4036,    1.4036,
    49.800,    1.4045,    1.4045,
    49.900,    1.4050,    1.4050,
    50.000,    1.4067,    1.4066,
    50.100,    1.4070,    1.4069,
    50.200,    1.4114,    1.4114,
    50.300,    1.4165,    1.4164,
    50.400,    1.4208,    1.4208,
    50.500,    1.4196,    1.4196,
    50.600,    1.4151,    1.4151,
    50.700,    1.4041,    1.4041,
    50.800,    1.4035,    1.4035,
    50.900,    1.4021,    1.4021,
    51.000,    1.3998,    1.3998,
    51.100,    1.3966,    1.3966,
    51.200,    1.3936,    1.3936,
    51.300,    1.3906,    1.3906,
    51.400,    1.3917,    1.3917,
    51.500,    1.3878,    1.3878,
    51.600,    1.3743,    1.3743,
    51.700,    1.3705,    1.3705,
    51.800,    1.3667,    1.3667,
    51.900,    1.3632,    1.3632,
    52.000,    1.3591,    1.3591,
    52.100,    1.3546,    1.3546,
    52.200,    1.3497,    1.3497,
    52.300,    1.3451,    1.3451,
    52.400,    1.3407,    1.3407,
    52.500,    1.3374,    1.3374,
    52.600,    1.3335,    1.3335,
    52.700,    1.3287,    1.3287,
    52.800,    1.3268,    1.3268,
    52.900,    1.3246,    1.3246,
    53.000,    1.3241,    1.3241,
    53.100,    1.3236,    1.3236,
    53.200,    1.3228,    1.3228,
    53.300,    1.3214,    1.3214,
    53.400,    1.3194,    1.3194,
    53.500,    1.3210,    1.3210,
    53.600,    1.3219,    1.3219,
    53.700,    1.3227,    1.3227,
    53.800,    1.3231,    1.3231,
    53.900,    1.3240,    1.3240,
    54.000,    1.3269,    1.3269,
    54.100,    1.3287,    1.3287,
    54.200,    1.3305,    1.3305,
    54.300,    1.3316,    1.3316,
    54.400,    1.3318,    1.3318,
    54.500,    1.3316,    1.3316,
    54.600,    1.3416,    1.3416,
    54.700,    1.3723,    1.3723,
    54.800,    1.4304,    1.4305,
    54.900,    1.5085,    1.5085,
    55.000,    1.5885,    1.5887,
    55.100,    1.6778,    1.6779,
    55.200,    1.7686,    1.7687,
    55.300,    1.8628,    1.8629,
    55.400,    1.9606,    1.9607,
    55.500,    2.0492,    2.0494,
    55.600,    2.1397,    2.1398,
    55.700,    2.2366,    2.2367,
    55.800,    2.3431,    2.3432,
    55.900,    2.4485,    2.4486,
    56.000,    2.5703,    2.5704,
    56.100,    2.6688,    2.6689,
    56.200,    2.7320,    2.7321,
    56.300,    2.7769,    2.7770,
    56.400,    2.8317,    2.8317,
    56.500,    2.9292,    2.9293,
    56.600,    2.9300,    2.9300,
    56.700,    2.9466,    2.9467,
    56.800,    2.9947,    2.9947,
    56.900,    3.0494,    3.0493,
    57.000,    3.0582,    3.0581,
    57.100,    3.0579,    3.0579,
    57.200,    3.0443,    3.0442,
    57.300,    3.0233,    3.0232,
    57.400,    2.9823,    2.9822,
    57.500,    2.8592,    2.8591,
    57.600,    2.7624,    2.7624,
    57.700,    2.7616,    2.7616,
    57.800,    2.6946,    2.6946,
    57.900,    2.6297,    2.6296,
    58.000,    2.5670,    2.5669,
    58.100,    2.5012,    2.5011,
    58.200,    2.4329,    2.4328,
    58.300,    2.3884,    2.3883,
    58.400,    2.2791,    2.2790,
    58.500,    2.1247,    2.1246,
    58.600,    2.0323,    2.0322,
    58.700,    1.9878,    1.9877,
    58.800,    1.9318,    1.9317,
    58.900,    1.8948,    1.8948,
    59.000,    1.8719,    1.8718,
    59.100,    1.8548,    1.8547,
    59.200,    1.8355,    1.8354,
    59.300,    1.8145,    1.8144,
    59.400,    1.7963,    1.7963,
    59.500,    1.7638,    1.7638,
    59.600,    1.7272,    1.7272,
    59.700,    1.6832,    1.6831,
    59.800,    1.6587,    1.6587,
    59.900,    1.6428,    1.6428,
    60.000,    1.6344,    1.6344,
    60.100,    1.6294,    1.6294,
    60.200,    1.6218,    1.6218,
    60.300,    1.6099,    1.6099,
    60.400,    1.5991,    1.5991,
    60.500,    1.5979,    1.5979,
    60.600,    1.6020,    1.6020,
    60.700,    1.6040,    1.6040,
    60.800,    1.6064,    1.6064,
    60.900,    1.6081,    1.6081,
    61.000,    1.6083,    1.6083,
    61.100,    1.5997,    1.5997,
    61.200,    1.5819,    1.5819,
    61.300,    1.5754,    1.5754,
    61.400,    1.5922,    1.5922,
    61.500,    1.6007,    1.6007,
    61.600,    1.6039,    1.6039,
    61.700,    1.6083,    1.6083,
    61.800,    1.6044,    1.6044,
    61.900,    1.5867,    1.5867,
    62.000,    1.5697,    1.5697,
    62.100,    1.5559,    1.5559,
    62.200,    1.5539,    1.5539,
    62.300,    1.5472,    1.5472,
    62.400,    1.5552,    1.5552,
    62.500,    1.5595,    1.5595,
    62.600,    1.5600,    1.5600,
    62.700,    1.5635,    1.5635,
    62.800,    1.5699,    1.5699,
    62.900,    1.5789,    1.5789,
    63.000,    1.5818,    1.5818,
    63.100,    1.5851,    1.5851,
    63.200,    1.5910,    1.5910,
    63.300,    1.6091,    1.6091,
    63.400,    1.6172,    1.6172,
    63.500,    1.6273,    1.6273,
    63.600,    1.6497,    1.6498,
    63.700,    1.6695,    1.6695,
    63.800,    1.6992,    1.6993,
    63.900,    1.7238,    1.7239,
    64.000,    1.7568,    1.7568,
    64.100,    1.7777,    1.7778,
    64.200,    1.7922,    1.7922,
    64.300,    1.8110,    1.8111,
    64.400,    1.8281,    1.8281,
    64.500,    1.8427,    1.8427,
    64.600,    1.8565,    1.8565,
    64.700,    1.8706,    1.8706,
    64.800,    1.8830,    1.8830,
    64.900,    1.8803,    1.8803,
    65.000,    1.8908,    1.8908,
    65.100,    1.8998,    1.8998,
    65.200,    1.9069,    1.9069,
    65.300,    1.9149,    1.9149,
    65.400,    1.9273,    1.9273,
    65.500,    1.9311,    1.9311,
    65.600,    1.9418,    1.9418,
    65.700,    1.9516,    1.9516,
    65.800,    1.9550,    1.9551,
    65.900,    1.9740,    1.9740,
    66.000,    1.9977,    1.9977,
    66.100,    2.0202,    2.0202,
    66.200,    2.0354,    2.0354,
    66.300,    2.0420,    2.0420,
    66.400,    2.0450,    2.0450,
    66.500,    2.0356,    2.0356,
    66.600,    2.0297,    2.0297,
    66.700,    2.0353,    2.0354,
    66.800,    2.0488,    2.0488,
    66.900,    2.0725,    2.0725,
    67.000,    2.0797,    2.0797,
    67.100,    2.0862,    2.0862,
    67.200,    2.0791,    2.0791,
    67.300,    2.0718,    2.0718,
    67.400,    2.0589,    2.0589,
    67.500,    2.0283,    2.0283,
    67.600,    2.0253,    2.0253,
    67.700,    2.0340,    2.0340,
    67.800,    2.0336,    2.0336,
    67.900,    2.0345,    2.0345,
    68.000,    2.0373,    2.0373,
    68.100,    2.0323,    2.0323,
    68.200,    2.0275,    2.0275,
    68.300,    2.0200,    2.0200,
    68.400,    2.0108,    2.0107,
    68.500,    1.9828,    1.9828,
    68.600,    1.9777,    1.9777,
    68.700,    1.9762,    1.9762,
    68.800,    1.9757,    1.9757,
    68.900,    1.9755,    1.9755,
    69.000,    1.9730,    1.9730,
    69.100,    1.9690,    1.9690,
    69.200,    1.9648,    1.9648,
    69.300,    1.9528,    1.9528,
    69.400,    1.9394,    1.9394,
    69.500,    1.9242,    1.9242,
    69.600,    1.9234,    1.9234,
    69.700,    1.9224,    1.9224,
    69.800,    1.9231,    1.9231,
    69.900,    1.9242,    1.9242,
    70.000,    1.9242,    1.9242,
    70.100,    1.9212,    1.9212,
    70.200,    1.9166,    1.9166,
    70.300,    1.9086,    1.9085,
    70.400,    1.8911,    1.8911,
    70.500,    1.8863,    1.8863,
    70.600,    1.8760,    1.8759,
    70.700,    1.8653,    1.8653,
    70.800,    1.8542,    1.8542,
    70.900,    1.8427,    1.8426,
    71.000,    1.8307,    1.8307,
    71.100,    1.8206,    1.8206,
    71.200,    1.8123,    1.8123,
    71.300,    1.8089,    1.8089,
    71.400,    1.8296,    1.8296,
    71.500,    1.8685,    1.8686,
    71.600,    1.9312,    1.9312,
    71.700,    2.0053,    2.0054,
    71.800,    2.0882,    2.0883,
    71.900,    2.1747,    2.1748,
    72.000,    2.2588,    2.2589,
    72.100,    2.3826,    2.3827,
    72.200,    2.4692,    2.4693,
    72.300,    2.5447,    2.5448,
    72.400,    2.5565,    2.5566,
    72.500,    2.5351,    2.5351,
    72.600,    2.6447,    2.6448,
    72.700,    2.7386,    2.7387,
    72.800,    2.8094,    2.8095,
    72.900,    2.8777,    2.8778,
    73.000,    2.9659,    2.9660,
    73.100,    3.0764,    3.0765,
    73.200,    3.1948,    3.1949,
    73.300,    3.2999,    3.3000,
    73.400,    3.3714,    3.3715,
    73.500,    3.4115,    3.4116,
    73.600,    3.4408,    3.4409,
    73.700,    3.4919,    3.4920,
    73.800,    3.5931,    3.5932,
    73.900,    3.6548,    3.6549,
    74.000,    3.6937,    3.6937,
    74.100,    3.7355,    3.7355,
    74.200,    3.7816,    3.7816,
    74.300,    3.8335,    3.8335,
    74.400,    3.8627,    3.8627,
    74.500,    3.8669,    3.8669,
    74.600,    3.8942,    3.8942,
    74.700,    3.8538,    3.8538,
    74.800,    3.8901,    3.8901,
    74.900,    3.8966,    3.8967,
    75.000,    3.9097,    3.9097,
    75.100,    3.9567,    3.9567,
    75.200,    3.9912,    3.9912,
    75.300,    3.9926,    3.9926,
    75.400,    3.9570,    3.9570,
    75.500,    3.7771,    3.7771,
    75.600,    3.8475,    3.8476,
    75.700,    3.8616,    3.8617,
    75.800,    3.8977,    3.8977,
    75.900,    3.9425,    3.9425,
    76.000,    3.9888,    3.9888,
    76.100,    4.0122,    4.0122,
    76.200,    4.0265,    4.0265,
    76.300,    4.0537,    4.0537,
    76.400,    4.0117,    4.0118,
    76.500,    4.0119,    4.0119,
    76.600,    4.0308,    4.0308,
    76.700,    4.0505,    4.0505,
    76.800,    4.0876,    4.0876,
    76.900,    4.1025,    4.1025,
    77.000,    4.1193,    4.1193,
    77.100,    4.1253,    4.1253,
    77.200,    4.1272,    4.1272,
    77.300,    4.1295,    4.1295,
    77.400,    4.0904,    4.0904,
    77.500,    4.0734,    4.0734,
    77.600,    4.0698,    4.0698,
    77.700,    4.0641,    4.0640,
    77.800,    4.0616,    4.0615,
    77.900,    4.0469,    4.0468,
    78.000,    4.0215,    4.0215,
    78.100,    3.9932,    3.9932,
