$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
   184.000,   22.8972,   77.1949,    0.2083,    0.8010,
   184.100,   22.9226,   78.9556,    0.2121,    0.8029,
   184.200,   22.9478,   80.8936,    0.2178,    0.8048,
   184.304,   22.9583,   81.9007,    0.2212,    0.8056,
   184.400,   22.9564,   81.6962,    0.2211,    0.8061,
   184.500,   22.9457,   80.5832,    0.2190,    0.8066,
   184.600,   22.9331,   79.3010,    0.2169,    0.8070,
   184.700,   22.9265,   77.9581,    0.2159,    0.8095,
   184.801,   22.9169,   77.2096,    0.2157,    0.8099,
   184.900,   22.9085,   76.6670,    0.2164,    0.8100,
   185.000,   22.8967,   76.0227,    0.2155,    0.8091,
   185.100,   22.8755,   75.0302,    0.2123,    0.8066,
   185.200,   22.8639,   74.5301,    0.2101,    0.8050,
   185.305,   22.8712,   74.9070,    0.2113,    0.8061,
   185.400,   22.8941,   76.0898,    0.2158,    0.8092,
   185.500,   22.9201,   77.6077,    0.2209,    0.8124,
   185.600,   22.9313,   78.4615,    0.2231,    0.8134,
   185.704,   22.9293,   78.5192,    0.2222,    0.8128,
   185.801,   22.9102,   77.6227,    0.2180,    0.8101,
   185.903,   22.8844,   76.5252,    0.2126,    0.8061,
   186.000,   22.8578,   75.5600,    0.2071,    0.8014,
   186.100,   22.8384,   75.0418,    0.2031,    0.7976,
   186.200,   22.8385,   75.3645,    0.2024,    0.7968,
   186.307,   22.8433,   75.9370,    0.2027,    0.7966,
   186.408,   22.8633,   77.1610,    0.2056,    0.7989,
   186.500,   22.8787,   78.2214,    0.2080,    0.8004,
   186.600,   22.8867,   78.9373,    0.2089,    0.8009,
   186.700,   22.8839,   79.0322,    0.2075,    0.7999,
   186.802,   22.8640,   78.2226,    0.2024,    0.7965,
   186.900,   22.8377,   77.1706,    0.1962,    0.7919,
   187.000,   22.8123,   76.3067,    0.1907,    0.7872,
   187.100,   22.8030,   76.1920,    0.1885,    0.7851,
   187.204,   22.8108,   76.7724,    0.1898,    0.7858,
   187.307,   22.8701,   78.9937,    0.1989,    0.7960,
   187.400,   22.8879,   79.9051,    0.2019,    0.7989,
   187.500,   22.9068,   80.8097,    0.2053,    0.8021,
   187.600,   22.8863,   80.2810,    0.2021,    0.7982,
   187.704,   22.9009,   80.9379,    0.2048,    0.8009,
   187.802,   22.9046,   81.0504,    0.2047,    0.8019,
   187.900,   22.8877,   80.0829,    0.1997,    0.7993,
   188.000,   22.8704,   79.0612,    0.1942,    0.7965,
   188.100,   22.8638,   78.5291,    0.1916,    0.7957,
   188.200,   22.8837,   79.1255,    0.1950,    0.7999,
   188.305,   22.9100,   80.1844,    0.2015,    0.8058,
   188.400,   22.9250,   80.8971,    0.2063,    0.8097,
   188.500,   22.9256,   80.8336,    0.2067,    0.8106,
   188.600,   22.9088,   79.8153,    0.2011,    0.8075,
   188.700,   22.8853,   78.6298,    0.1938,    0.8027,
   188.802,   22.8489,   77.1794,    0.1854,    0.7950,
   188.903,   22.8200,   76.2348,    0.1796,    0.7888,
   189.000,   22.7920,   75.4647,    0.1750,    0.7827,
   189.100,   22.7777,   75.2130,    0.1728,    0.7794,
   189.200,   22.7818,   75.5953,    0.1733,    0.7797,
   189.308,   22.8050,   76.7028,    0.1770,    0.7839,
   189.400,   22.8400,   78.3608,    0.1829,    0.7903,
   189.500,   22.8641,   79.8035,    0.1880,    0.7945,
   189.600,   22.8713,   80.5789,    0.1900,    0.7952,
   189.700,   22.8563,   80.3529,    0.1877,    0.7916,
   189.801,   22.8338,   79.7781,    0.1840,    0.7865,
   189.900,   22.7957,   78.5946,    0.1786,    0.7784,
   190.000,   22.7930,   78.7261,    0.1775,    0.7773,
   190.100,   22.8120,   79.6688,    0.1798,    0.7806,
   190.200,   22.8578,   81.8502,    0.1873,    0.7896,
   190.304,   22.8879,   83.5456,    0.1939,    0.7955,
   190.400,   22.8928,   83.8594,    0.1948,    0.7965,
   190.500,   22.8534,   81.6351,    0.1855,    0.7883,
   190.600,   22.7772,   78.2606,    0.1732,    0.7722,
   190.700,   22.6549,   73.9311,    0.1622,    0.7470,
   190.801,   22.5774,   71.9481,    0.1615,    0.7312,
   190.900,   22.5711,   71.9692,    0.1628,    0.7295,
   191.000,   22.6700,   75.0164,    0.1654,    0.7491,
   191.100,   22.8036,   80.1631,    0.1767,    0.7764,
   191.203,   22.8816,   83.6294,    0.1870,    0.7929,
   191.302,   22.8952,   84.3243,    0.1897,    0.7958,
   191.400,   22.8638,   82.7667,    0.1837,    0.7887,
   191.500,   22.7839,   79.6273,    0.1760,    0.7714,
   191.600,   22.7515,   78.1951,    0.1709,    0.7634,
   191.700,   22.7254,   77.4584,    0.1703,    0.7574,
   191.801,   22.7845,   79.5264,    0.1728,    0.7698,
   191.903,   22.8138,   81.1003,    0.1780,    0.7766,
   192.000,   22.8656,   83.1832,    0.1815,    0.7877,
   192.100,   22.8888,   84.1392,    0.1832,    0.7926,
   192.200,   22.8946,   84.2903,    0.1829,    0.7936,
   192.302,   22.8898,   83.9300,    0.1815,    0.7919,
   192.400,   22.8844,   83.5273,    0.1807,    0.7902,
   192.500,   22.8739,   82.9447,    0.1810,    0.7875,
   192.600,   22.8629,   82.3803,    0.1809,    0.7849,
   192.706,   22.8481,   81.6451,    0.1800,    0.7809,
   192.802,   22.8197,   80.5130,    0.1799,    0.7738,
   192.900,   22.8089,   80.1600,    0.1815,    0.7710,
   193.000,   22.8077,   80.2433,    0.1840,    0.7707,
   193.100,   22.7842,   79.6065,    0.1870,    0.7654,
   193.200,   22.7174,   77.7478,    0.1930,    0.7511,
   193.301,   22.6330,   75.6675,    0.2006,    0.7341,
   193.400,   22.5493,   73.8238,    0.2072,    0.7179,
   193.500,   22.4811,   72.2927,    0.2115,    0.7043,
   193.600,   22.5136,   73.3697,    0.2093,    0.7107,
   193.700,   22.6480,   77.2325,    0.2018,    0.7366,
   193.802,   22.7456,   81.3746,    0.2001,    0.7576,
   193.903,   22.8260,   85.1161,    0.1999,    0.7753,
   194.000,   22.8759,   88.0584,    0.2024,    0.7872,
