$Temperature file for segment 11
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    46.707,    3.73,          -99.00,
    46.801,    3.74,          -99.00,
    46.900,    3.75,          -99.00,
    47.000,    3.75,          -99.00,
    47.100,    3.75,          -99.00,
    47.207,    3.74,          -99.00,
    47.302,    3.74,          -99.00,
    47.400,    3.74,          -99.00,
    47.500,    3.75,          -99.00,
    47.600,    3.75,          -99.00,
    47.708,    3.77,          -99.00,
    47.802,    3.78,          -99.00,
    47.900,    3.77,          -99.00,
    48.000,    3.78,          -99.00,
    48.100,    3.77,          -99.00,
    48.208,    3.76,          -99.00,
    48.302,    3.75,          -99.00,
    48.400,    3.74,          -99.00,
    48.500,    3.74,          -99.00,
    48.600,    3.75,          -99.00,
    48.708,    3.77,          -99.00,
    48.802,    3.76,          -99.00,
    48.900,    3.76,          -99.00,
    49.000,    3.76,          -99.00,
    49.100,    3.76,          -99.00,
    49.203,    3.76,          -99.00,
    49.302,    3.76,          -99.00,
    49.400,    3.76,          -99.00,
    49.500,    3.78,          -99.00,
    49.600,    3.80,          -99.00,
    49.707,    3.81,          -99.00,
    49.802,    3.81,          -99.00,
    49.900,    3.82,          -99.00,
    50.000,    3.82,          -99.00,
    50.100,    3.82,          -99.00,
    50.202,    3.82,          -99.00,
    50.301,    3.82,          -99.00,
    50.400,    3.83,          -99.00,
    50.500,    3.83,          -99.00,
    50.600,    3.85,          -99.00,
    50.702,    3.86,          -99.00,
    50.800,    3.85,          -99.00,
    50.900,    3.85,          -99.00,
    51.000,    3.85,          -99.00,
    51.100,    3.85,          -99.00,
    51.204,    3.85,          -99.00,
    51.302,    3.85,          -99.00,
    51.400,    3.85,          -99.00,
    51.500,    3.86,          -99.00,
    51.600,    3.88,          -99.00,
    51.704,    3.89,          -99.00,
    51.806,    3.89,          -99.00,
    51.900,    3.89,          -99.00,
    52.000,    3.90,          -99.00,
    52.100,    3.89,          -99.00,
    52.204,    3.90,          -99.00,
    52.305,    3.91,          -99.00,
    52.400,    3.91,          -99.00,
    52.500,    3.93,          -99.00,
    52.600,    3.95,          -99.00,
    52.703,    3.97,          -99.00,
    52.801,    3.97,          -99.00,
    52.900,    3.97,          -99.00,
    53.000,    3.97,          -99.00,
    53.100,    3.97,          -99.00,
    53.202,    3.97,          -99.00,
    53.300,    3.97,          -99.00,
    53.400,    3.97,          -99.00,
    53.500,    3.98,          -99.00,
    53.600,    3.99,          -99.00,
    53.701,    3.99,          -99.00,
    53.802,    4.00,          -99.00,
    53.900,    4.00,          -99.00,
    54.000,    3.99,          -99.00,
    54.100,    3.99,          -99.00,
    54.201,    3.99,          -99.00,
    54.300,    3.99,          -99.00,
    54.400,    3.99,          -99.00,
    54.500,    4.00,          -99.00,
    54.600,    4.01,          -99.00,
    54.701,    4.00,          -99.00,
    54.802,    4.00,          -99.00,
    54.900,    4.00,          -99.00,
    55.000,    4.00,          -99.00,
    55.100,    4.00,          -99.00,
    55.202,    3.99,          -99.00,
    55.302,    3.99,          -99.00,
    55.400,    3.99,          -99.00,
    55.500,    3.99,          -99.00,
    55.600,    4.00,          -99.00,
    55.704,    4.00,          -99.00,
    55.802,    4.00,          -99.00,
    55.900,    4.00,          -99.00,
    56.000,    4.00,          -99.00,
    56.100,    4.01,          -99.00,
    56.201,    4.01,          -99.00,
    56.302,    4.01,          -99.00,
    56.400,    4.02,          -99.00,
    56.500,    4.03,          -99.00,
    56.600,    4.03,          -99.00,
    56.701,    4.04,          -99.00,
    56.802,    4.04,          -99.00,
    56.900,    4.04,          -99.00,
    57.000,    4.05,          -99.00,
    57.100,    4.05,          -99.00,
    57.202,    4.05,          -99.00,
    57.302,    4.05,          -99.00,
    57.400,    4.05,          -99.00,
    57.500,    4.07,          -99.00,
    57.600,    4.09,          -99.00,
    57.700,    4.08,          -99.00,
    57.800,    4.09,          -99.00,
    57.900,    4.10,          -99.00,
    58.000,    4.11,          -99.00,
    58.100,    4.11,          -99.00,
    58.202,    4.11,          -99.00,
    58.302,    4.12,          -99.00,
    58.400,    4.15,          -99.00,
    58.500,    4.20,          -99.00,
    58.600,    4.24,          -99.00,
    58.702,    4.24,          -99.00,
    58.801,    4.26,          -99.00,
    58.900,    4.26,          -99.00,
    59.000,    4.27,          -99.00,
    59.100,    4.27,          -99.00,
    59.203,    4.27,          -99.00,
    59.301,    4.28,          -99.00,
    59.400,    4.29,          -99.00,
    59.500,    4.34,          -99.00,
    59.600,    4.37,          -99.00,
    59.700,    4.40,          -99.00,
    59.802,    4.41,          -99.00,
    59.900,    4.42,          -99.00,
    60.000,    4.43,          -99.00,
    60.100,    4.44,          -99.00,
    60.204,    4.44,          -99.00,
    60.301,    4.45,          -99.00,
    60.400,    4.47,          -99.00,
    60.500,    4.48,          -99.00,
    60.600,    4.48,          -99.00,
    60.700,    4.48,          -99.00,
    60.802,    4.48,          -99.00,
    60.900,    4.49,          -99.00,
    61.000,    4.49,          -99.00,
    61.100,    4.50,          -99.00,
    61.201,    4.52,          -99.00,
    61.304,    4.50,          -99.00,
    61.400,    4.48,          -99.00,
    61.500,    4.48,          -99.00,
    61.600,    4.48,          -99.00,
    61.701,    4.48,          -99.00,
    61.803,    4.48,          -99.00,
    61.900,    4.50,          -99.00,
    62.000,    4.51,          -99.00,
    62.100,    4.53,          -99.00,
    62.201,    4.54,          -99.00,
    62.308,    4.54,          -99.00,
    62.400,    4.53,          -99.00,
    62.500,    4.53,          -99.00,
    62.600,    4.53,          -99.00,
    62.704,    4.52,          -99.00,
    62.803,    4.51,          -99.00,
    62.900,    4.51,          -99.00,
    63.000,    4.51,          -99.00,
    63.100,    4.49,          -99.00,
    63.201,    4.49,          -99.00,
    63.306,    4.48,          -99.00,
    63.400,    4.47,          -99.00,
    63.500,    4.46,          -99.00,
    63.600,    4.46,          -99.00,
    63.701,    4.45,          -99.00,
    63.803,    4.44,          -99.00,
    63.900,    4.43,          -99.00,
    64.000,    4.42,          -99.00,
    64.100,    4.42,          -99.00,
    64.201,    4.42,          -99.00,
    64.304,    4.42,          -99.00,
    64.400,    4.41,          -99.00,
    64.500,    4.41,          -99.00,
    64.600,    4.41,          -99.00,
    64.707,    4.40,          -99.00,
    64.801,    4.40,          -99.00,
    64.900,    4.39,          -99.00,
    65.000,    4.39,          -99.00,
    65.100,    4.38,          -99.00,
    65.201,    4.38,          -99.00,
    65.303,    4.37,          -99.00,
    65.400,    4.36,          -99.00,
    65.500,    4.35,          -99.00,
    65.600,    4.35,          -99.00,
    65.701,    4.34,          -99.00,
    65.802,    4.33,          -99.00,
    65.900,    4.31,          -99.00,
    66.000,    4.30,          -99.00,
    66.100,    4.28,          -99.00,
    66.201,    4.27,          -99.00,
    66.304,    4.27,          -99.00,
    66.400,    4.27,          -99.00,
    66.500,    4.28,          -99.00,
    66.600,    4.29,          -99.00,
    66.703,    4.29,          -99.00,
    66.800,    4.28,          -99.00,
    66.900,    4.28,          -99.00,
    67.000,    4.27,          -99.00,
    67.100,    4.27,          -99.00,
    67.201,    4.27,          -99.00,
    67.301,    4.27,          -99.00,
    67.400,    4.27,          -99.00,
    67.500,    4.28,          -99.00,
    67.600,    4.28,          -99.00,
    67.706,    4.28,          -99.00,
    67.802,    4.28,          -99.00,
    67.900,    4.28,          -99.00,
    68.000,    4.28,          -99.00,
    68.100,    4.28,          -99.00,
    68.204,    4.28,          -99.00,
    68.303,    4.28,          -99.00,
    68.400,    4.28,          -99.00,
    68.500,    4.28,          -99.00,
    68.600,    4.28,          -99.00,
    68.708,    4.29,          -99.00,
    68.806,    4.29,          -99.00,
    68.900,    4.29,          -99.00,
    69.000,    4.29,          -99.00,
    69.100,    4.29,          -99.00,
    69.201,    4.29,          -99.00,
    69.303,    4.29,          -99.00,
    69.400,    4.29,          -99.00,
    69.500,    4.30,          -99.00,
    69.600,    4.30,          -99.00,
    69.708,    4.30,          -99.00,
    69.806,    4.31,          -99.00,
    69.900,    4.31,          -99.00,
    70.000,    4.31,          -99.00,
    70.100,    4.31,          -99.00,
    70.202,    4.31,          -99.00,
    70.303,    4.31,          -99.00,
    70.400,    4.32,          -99.00,
    70.500,    4.32,          -99.00,
    70.600,    4.32,          -99.00,
    70.701,    4.32,          -99.00,
    70.802,    4.33,          -99.00,
    70.900,    4.33,          -99.00,
    71.000,    4.33,          -99.00,
    71.100,    4.33,          -99.00,
    71.201,    4.33,          -99.00,
    71.303,    4.33,          -99.00,
    71.400,    4.33,          -99.00,
    71.500,    4.33,          -99.00,
    71.600,    4.33,          -99.00,
    71.700,    4.33,          -99.00,
    71.803,    4.33,          -99.00,
    71.900,    4.33,          -99.00,
    72.000,    4.33,          -99.00,
    72.100,    4.32,          -99.00,
    72.201,    4.32,          -99.00,
    72.303,    4.32,          -99.00,
    72.400,    4.32,          -99.00,
    72.500,    4.32,          -99.00,
    72.600,    4.32,          -99.00,
    72.701,    4.32,          -99.00,
    72.803,    4.32,          -99.00,
    72.900,    4.32,          -99.00,
    73.000,    4.32,          -99.00,
    73.100,    4.32,          -99.00,
    73.202,    4.32,          -99.00,
    73.304,    4.32,          -99.00,
    73.400,    4.33,          -99.00,
    73.500,    4.33,          -99.00,
    73.600,    4.33,          -99.00,
    73.705,    4.33,          -99.00,
    73.801,    4.33,          -99.00,
    73.900,    4.33,          -99.00,
    74.000,    4.34,          -99.00,
    74.100,    4.34,          -99.00,
    74.205,    4.34,          -99.00,
    74.301,    4.34,          -99.00,
    74.400,    4.34,          -99.00,
    74.500,    4.34,          -99.00,
    74.600,    4.34,          -99.00,
    74.704,    4.34,          -99.00,
    74.802,    4.34,          -99.00,
    74.900,    4.34,          -99.00,
    75.000,    4.35,          -99.00,
    75.100,    4.35,          -99.00,
    75.201,    4.35,          -99.00,
    75.303,    4.35,          -99.00,
    75.400,    4.35,          -99.00,
    75.500,    4.34,          -99.00,
    75.600,    4.35,          -99.00,
    75.701,    4.35,          -99.00,
    75.803,    4.35,          -99.00,
    75.900,    4.35,          -99.00,
    76.000,    4.36,          -99.00,
    76.100,    4.36,          -99.00,
    76.202,    4.36,          -99.00,
    76.304,    4.35,          -99.00,
    76.400,    4.35,          -99.00,
    76.500,    4.35,          -99.00,
    76.600,    4.35,          -99.00,
    76.703,    4.35,          -99.00,
    76.805,    4.35,          -99.00,
    76.900,    4.35,          -99.00,
    77.000,    4.35,          -99.00,
    77.100,    4.35,          -99.00,
    77.204,    4.35,          -99.00,
    77.306,    4.35,          -99.00,
    77.400,    4.35,          -99.00,
    77.500,    4.35,          -99.00,
    77.600,    4.35,          -99.00,
    77.704,    4.35,          -99.00,
    77.806,    4.35,          -99.00,
    77.900,    4.35,          -99.00,
    78.000,    4.35,          -99.00,
    78.100,    4.35,          -99.00,
    78.204,    4.35,          -99.00,
    78.306,    4.35,          -99.00,
    78.400,    4.34,          -99.00,
    78.500,    4.34,          -99.00,
    78.600,    4.34,          -99.00,
    78.704,    4.34,          -99.00,
    78.806,    4.34,          -99.00,
    78.900,    4.34,          -99.00,
    79.000,    4.34,          -99.00,
    79.100,    4.34,          -99.00,
    79.205,    4.34,          -99.00,
    79.307,    4.35,          -99.00,
    79.400,    4.35,          -99.00,
    79.500,    4.34,          -99.00,
    79.600,    4.34,          -99.00,
    79.704,    4.34,          -99.00,
    79.803,    4.34,          -99.00,
    79.900,    4.34,          -99.00,
    80.000,    4.34,          -99.00,
    80.100,    4.34,          -99.00,
    80.204,    4.34,          -99.00,
    80.306,    4.34,          -99.00,
    80.400,    4.34,          -99.00,
    80.500,    4.34,          -99.00,
    80.600,    4.34,          -99.00,
    80.704,    4.35,          -99.00,
    80.806,    4.35,          -99.00,
    80.900,    4.35,          -99.00,
    81.000,    4.35,          -99.00,
    81.100,    4.35,          -99.00,
    81.206,    4.36,          -99.00,
    81.302,    4.36,          -99.00,
    81.400,    4.36,          -99.00,
    81.500,    4.37,          -99.00,
    81.600,    4.37,          -99.00,
    81.703,    4.38,          -99.00,
    81.805,    4.38,          -99.00,
    81.900,    4.39,          -99.00,
