JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    83.600,  1200.000,   463.470,     5.174,    -0.041,    47.982,   399.356,     0.345,    76.070,   928.860,     1.000,     4.463,   328.639,   376.751,   273.154,   330.619,     9.581,   -18.934,    25.259,    34.818,     0.280,     0.676,     0.954,     0.954, 0.000E+00, 0.000E+00,
    83.704,  1200.000,   463.484,     5.314,    -0.046,    39.703,   243.996,     0.348,    76.084,   928.860,     1.000,     4.475,   178.843,   230.185,   272.783,   331.281,     9.240,   -16.396,    25.248,    34.995,     0.297,     0.680,     0.980,     0.980, 0.000E+00, 0.000E+00,
    83.806,  1200.000,   463.503,     5.246,    -0.043,    39.846,    10.409,     0.348,    76.103,   928.860,     1.000,     4.475,   -68.174,     9.819,   257.951,   331.046,     8.743,    -3.844,    25.227,    35.003,     0.294,     0.685,     0.983,     0.983, 0.000E+00, 0.000E+00,
    83.900,   513.241,   463.522,     5.145,    -0.024,    43.105,     0.000,     0.347,    76.122,   928.860,     1.000,     4.471,  -107.641,     0.000,   246.619,   330.519,    13.979,     9.762,    25.214,    35.030,     0.284,     0.681,     0.966,     0.966, 0.000E+00, 0.000E+00,
    84.000,   483.572,   463.541,     5.081,    -0.007,    46.134,     0.000,     0.350,    76.141,   928.860,     1.000,     4.467,  -117.145,     0.000,   241.654,   330.202,    15.676,    12.921,    25.207,    35.193,     0.300,     0.695,     0.995,     0.995, 0.000E+00, 0.000E+00,
    84.100,   551.841,   463.559,     5.007,     0.004,    43.807,     0.000,     0.349,    76.159,   928.860,     1.000,     4.463,  -127.832,     0.000,   237.371,   329.861,    18.955,    16.386,    25.200,    35.153,     0.296,     0.697,     0.993,     0.993, 0.000E+00, 0.000E+00,
    84.203,   664.962,   463.576,     4.928,     0.010,    41.798,     0.000,     0.350,    76.176,   928.860,     1.000,     4.458,  -143.590,     0.000,   231.426,   329.494,    23.374,    22.147,    25.212,    35.596,     0.316,     0.711,     1.027,     1.027, 0.000E+00, 0.000E+00,
    84.306,   672.054,   463.594,     4.861,     0.014,    41.756,    40.106,     0.353,    76.194,   928.860,     1.000,     4.454,  -110.995,    37.836,   228.600,   329.171,    24.586,    23.675,    25.211,    35.648,     0.317,     0.714,     1.031,     1.031, 0.000E+00, 0.000E+00,
    84.400,   582.738,   463.610,     4.872,    -0.004,    43.830,   311.131,     0.351,    76.210,   928.860,     1.000,     4.456,   196.843,   293.520,   245.785,   329.187,    10.816,     2.459,    25.216,    35.676,     0.307,     0.705,     1.014,     1.014, 0.000E+00, 0.000E+00,
    84.500,   828.986,   463.627,     5.124,    -0.017,    45.105,   735.672,     0.349,    76.227,   928.860,     1.000,     4.472,   649.942,   694.031,   263.362,   330.337,    -1.027,   -21.859,    25.222,    35.660,     0.282,     0.687,     0.971,     0.971, 0.000E+00, 0.000E+00,
    84.600,  1200.000,   463.644,     5.518,    -0.022,    49.019,   709.916,     0.344,    76.244,   928.860,     1.000,     4.499,   642.606,   669.732,   278.762,   332.230,     6.636,   -32.978,    25.227,    35.701,     0.263,     0.672,     0.935,     0.935, 0.000E+00, 0.000E+00,
    84.704,  1200.000,   463.658,     5.767,    -0.029,    39.747,   393.490,     0.342,    76.258,   928.860,     1.000,     4.519,   343.570,   371.217,   284.789,   333.376,    15.257,   -36.197,    25.233,    35.776,     0.245,     0.657,     0.906,     0.906, 0.000E+00, 0.000E+00,
    84.804,   585.981,   463.677,     5.729,    -0.029,    41.784,     5.647,     0.338,    76.277,   928.860,     1.000,     4.522,   -62.280,     5.328,   262.538,   333.318,    13.967,   -17.139,    25.238,    35.874,     0.230,     0.644,     0.876,     0.876, 0.000E+00, 0.000E+00,
    84.900,   509.549,   463.694,     5.599,    -0.009,    43.185,     0.000,     0.335,    76.294,   928.860,     1.000,     4.521,  -105.927,     0.000,   240.047,   332.687,    11.709,     1.578,    25.245,    35.918,     0.218,     0.632,     0.851,     0.851, 0.000E+00, 0.000E+00,
    85.000,   472.304,   463.712,     5.488,     0.007,    45.818,     0.000,     0.333,    76.312,   928.860,     1.000,     4.524,  -113.344,     0.000,   238.738,   332.146,    12.773,     7.163,    25.257,    35.916,     0.207,     0.622,     0.829,     0.829, 0.000E+00, 0.000E+00,
    85.100,   587.661,   463.729,     5.431,     0.019,    43.537,     0.000,     0.335,    76.329,   928.860,     1.000,     4.530,  -115.627,     0.000,   237.995,   331.874,    14.064,     7.685,    25.270,    36.066,     0.215,     0.628,     0.843,     0.843, 0.000E+00, 0.000E+00,
    85.203,   644.486,   463.746,     5.359,     0.027,    41.956,     0.000,     0.333,    76.346,   928.860,     1.000,     4.536,  -137.275,     0.000,   230.184,   331.545,    18.699,    17.215,    25.294,    35.984,     0.208,     0.619,     0.828,     0.828, 0.000E+00, 0.000E+00,
    85.305,   651.867,   463.763,     5.287,     0.031,    41.869,    65.125,     0.332,    76.363,   928.860,     1.000,     4.542,   -68.531,    61.438,   232.398,   331.191,    17.251,    13.926,    25.321,    35.815,     0.204,     0.613,     0.818,     0.818, 0.000E+00, 0.000E+00,
    85.400,   582.381,   463.779,     5.320,     0.028,    43.999,   387.719,     0.331,    76.379,   928.860,     1.000,     4.555,   280.485,   365.773,   246.934,   331.306,     6.544,    -5.628,    25.345,    35.573,     0.196,     0.605,     0.801,     0.801, 0.000E+00, 0.000E+00,
    85.500,   796.552,   463.796,     5.606,     0.013,    44.278,   738.958,     0.329,    76.396,   928.860,     1.000,     4.583,   645.192,   697.130,   263.757,   332.629,     2.892,   -19.826,    25.361,    35.342,     0.187,     0.596,     0.783,     0.783, 0.000E+00, 0.000E+00,
    85.600,  1200.000,   463.812,     5.898,    -0.005,    49.457,   460.944,     0.327,    76.412,   928.860,     1.000,     4.610,   393.958,   434.852,   278.924,   334.070,     6.522,   -20.774,    25.366,    35.287,     0.178,     0.588,     0.767,     0.767, 0.000E+00, 0.000E+00,
    85.700,   973.419,   463.826,     5.972,    -0.019,    39.972,   262.505,     0.326,    76.426,   928.860,     1.000,     4.622,   189.970,   247.647,   275.453,   334.436,    16.271,   -17.578,    25.372,    35.336,     0.170,     0.580,     0.751,     0.751, 0.000E+00, 0.000E+00,
    85.804,  1072.516,   463.843,     5.889,    -0.027,    40.146,     6.625,     0.325,    76.443,   928.860,     1.000,     4.620,   -82.765,     6.250,   255.611,   334.128,    10.809,    -0.311,    25.376,    35.467,     0.163,     0.573,     0.738,     0.738, 0.000E+00, 0.000E+00,
    85.900,   506.152,   463.861,     5.783,    -0.026,    42.681,     0.000,     0.323,    76.461,   928.860,     1.000,     4.614,   -88.032,     0.000,   252.786,   333.560,     9.001,    -1.743,    25.376,    35.581,     0.158,     0.568,     0.727,     0.727, 0.000E+00, 0.000E+00,
    86.000,   451.974,   463.879,     5.689,    -0.035,    45.185,     0.000,     0.322,    76.479,   928.860,     1.000,     4.607,  -104.732,     0.000,   247.053,   333.102,    14.386,     4.297,    25.369,    35.806,     0.165,     0.577,     0.742,     0.742, 0.000E+00, 0.000E+00,
    86.100,   282.738,   463.898,     5.615,    -0.032,    42.593,     0.000,     0.324,    76.498,   928.860,     1.000,     4.599,  -116.963,     0.000,   241.370,   332.748,    17.827,     7.758,    25.362,    35.964,     0.162,     0.573,     0.735,     0.735, 0.000E+00, 0.000E+00,
    86.202,   609.657,   463.918,     5.531,    -0.025,    42.218,     0.000,     0.323,    76.518,   928.860,     1.000,     4.588,  -131.097,     0.000,   234.698,   332.364,    19.744,    13.687,    25.355,    36.134,     0.159,     0.571,     0.731,     0.731, 0.000E+00, 0.000E+00,
    86.304,   605.714,   463.937,     5.452,    -0.018,    42.371,    52.128,     0.323,    76.537,   928.860,     1.000,     4.578,   -84.976,    49.177,   231.595,   331.978,    17.892,    15.878,    25.348,    36.271,     0.157,     0.568,     0.725,     0.725, 0.000E+00, 0.000E+00,
    86.400,   583.087,   463.956,     5.501,    -0.022,    44.708,   496.552,     0.322,    76.556,   928.860,     1.000,     4.580,   360.867,   468.445,   241.364,   332.160,    17.048,    -0.265,    25.337,    36.295,     0.151,     0.562,     0.714,     0.714, 0.000E+00, 0.000E+00,
    86.500,   671.412,   463.976,     5.710,    -0.036,    45.894,   518.520,     0.321,    76.576,   928.860,     1.000,     4.592,   410.326,   489.170,   266.307,   333.190,    25.830,   -13.869,    25.325,    36.385,     0.146,     0.558,     0.704,     0.704, 0.000E+00, 0.000E+00,
    86.600,  1187.032,   463.995,     5.939,    -0.038,    47.384,   685.370,     0.321,    76.595,   928.860,     1.000,     4.605,   576.364,   646.575,   266.300,   334.242,    23.888,   -21.618,    25.310,    36.514,     0.147,     0.559,     0.706,     0.706, 0.000E+00, 0.000E+00,
    86.704,  1200.000,   464.011,     6.062,    -0.043,    40.037,   390.004,     0.321,    76.611,   928.860,     1.000,     4.610,   290.607,   367.928,   263.449,   334.865,    24.393,   -18.488,    25.296,    36.707,     0.151,     0.563,     0.713,     0.713, 0.000E+00, 0.000E+00,
    86.802,   521.344,   464.032,     5.956,    -0.044,    42.204,     9.043,     0.322,    76.632,   928.860,     1.000,     4.599,   -97.290,     8.532,   247.762,   334.415,    22.704,    -3.535,    25.285,    36.941,     0.156,     0.567,     0.723,     0.723, 0.000E+00, 0.000E+00,
    86.900,   494.266,   464.051,     5.808,    -0.033,    43.057,     0.000,     0.322,    76.651,   928.860,     1.000,     4.583,  -119.256,     0.000,   241.415,   333.686,    19.477,     7.508,    25.279,    37.146,     0.158,     0.567,     0.725,     0.725, 0.000E+00, 0.000E+00,
