$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,QWD(m3s-1)
    55.202,    0.0000
    55.302,    0.0000
    55.400,    0.0000
    55.500,    0.0000
    55.600,    0.0000
    55.704,    0.0000
    55.802,    0.0000
    55.900,    0.0000
    56.000,    0.0000
    56.100,    0.0000
    56.201,    0.0000
    56.302,    0.0000
    56.400,    0.0000
    56.500,    0.0000
    56.600,    0.0000
    56.701,    0.0000
    56.802,    0.0000
    56.900,    0.0000
    57.000,    0.0000
    57.100,    0.0000
    57.202,    0.0000
    57.302,    0.0000
    57.400,    0.0000
    57.500,    0.0000
    57.600,    0.0000
    57.700,    0.0000
    57.800,    0.0000
    57.900,    0.0000
    58.000,    0.0000
    58.100,    0.0000
    58.202,    0.0000
    58.302,    0.0000
    58.400,    0.0000
    58.500,    0.0000
    58.600,    0.0000
    58.702,    0.0000
    58.801,    0.0000
    58.900,    0.0000
    59.000,    0.0000
    59.100,    0.0000
    59.203,    0.0000
    59.301,    0.0000
    59.400,    0.0000
    59.500,    0.0000
    59.600,    0.0000
    59.700,    0.0000
    59.802,    0.0000
    59.900,    0.0000
    60.000,    0.0000
    60.100,    0.0000
    60.204,    0.0000
    60.301,    0.0000
    60.400,    0.0000
    60.500,    0.0000
    60.600,    0.0000
    60.700,    0.0000
    60.802,    0.0000
    60.900,    0.0000
    61.000,    0.0000
    61.100,    0.0000
    61.201,    0.0000
    61.304,    0.0000
    61.400,    0.0000
    61.500,    0.0000
    61.600,    0.0000
    61.701,    0.0000
    61.803,    0.0000
    61.900,    0.0000
    62.000,    0.0000
    62.100,    0.0000
    62.201,    0.0000
    62.308,    0.0000
    62.400,    0.0000
    62.500,    0.0000
    62.600,    0.0000
    62.704,    0.0000
    62.803,    0.0000
    62.900,    0.0000
    63.000,    0.0000
    63.100,    0.0000
    63.201,    0.0000
    63.306,    0.0000
    63.400,    0.0000
    63.500,    0.0000
    63.600,    0.0000
    63.701,    0.0000
    63.803,    0.0000
    63.900,    0.0000
    64.000,    0.0000
    64.100,    0.0000
    64.201,    0.0000
    64.304,    0.0000
    64.400,    0.0000
    64.500,    0.0000
    64.600,    0.0000
    64.707,    0.0000
    64.801,    0.0000
    64.900,    0.0000
    65.000,    0.0000
    65.100,    0.0000
    65.201,    0.0000
    65.303,    0.0000
    65.400,    0.0000
    65.500,    0.0000
    65.600,    0.0000
    65.701,    0.0000
    65.802,    0.0000
    65.900,    0.0000
    66.000,    0.0000
    66.100,    0.0000
    66.201,    0.0000
    66.304,    0.0000
    66.400,    0.0000
    66.500,    0.0000
    66.600,    0.0000
    66.703,    0.0000
    66.800,    0.0000
    66.900,    0.0000
    67.000,    0.0000
    67.100,    0.0000
    67.201,    0.0000
    67.301,    0.0000
    67.400,    0.0000
    67.500,    0.0000
    67.600,    0.0000
    67.706,    0.0000
    67.802,    0.0000
    67.900,    0.0000
    68.000,    0.0000
    68.100,    0.0000
    68.204,    0.0000
    68.303,    0.0000
    68.400,    0.0000
    68.500,    0.0000
    68.600,    0.0000
    68.708,    0.0000
    68.806,    0.0000
    68.900,    0.0000
    69.000,    0.0000
    69.100,    0.0000
    69.201,    0.0000
    69.303,    0.0000
    69.400,    0.0000
    69.500,    0.0000
    69.600,    0.0000
    69.708,    0.0000
    69.806,    0.0000
    69.900,    0.0000
    70.000,    0.0000
    70.100,    0.0000
    70.202,    0.0000
    70.303,    0.0000
    70.400,    0.0000
    70.500,    0.0000
    70.600,    0.0000
    70.701,    0.0000
    70.802,    0.0000
    70.900,    0.0000
    71.000,    0.0000
    71.100,    0.0000
    71.201,    0.0000
    71.303,    0.0000
    71.400,    0.0000
    71.500,    0.0000
    71.600,    0.0000
    71.700,    0.0000
    71.803,    0.0000
    71.900,    0.0000
    72.000,    0.0000
    72.100,    0.0000
    72.201,    0.0000
    72.303,    0.0000
    72.400,    0.0000
    72.500,    0.0000
    72.600,    0.0000
    72.701,    0.0000
    72.803,    0.0000
    72.900,    0.0000
    73.000,    0.0000
    73.100,    0.0000
    73.202,    0.0000
    73.304,    0.0000
    73.400,    0.0000
    73.500,    0.0000
    73.600,    0.0000
    73.705,    0.0000
    73.801,    0.0000
    73.900,    0.0000
    74.000,    0.0000
    74.100,    0.0000
    74.205,    0.0000
    74.301,    0.0000
    74.400,    0.0000
    74.500,    0.0000
    74.600,    0.0000
    74.704,    0.0000
    74.802,    0.0000
    74.900,    0.0000
    75.000,    0.0000
    75.100,    0.0000
    75.201,    0.0000
    75.303,    0.0000
    75.400,    0.0000
    75.500,    0.0000
    75.600,    0.0000
    75.701,    0.0000
    75.803,    0.0000
    75.900,    0.0000
    76.000,    0.0000
    76.100,    0.0000
    76.202,    0.0000
    76.304,    0.0000
    76.400,    0.0000
    76.500,    0.0000
    76.600,    0.0000
    76.703,    0.0000
    76.805,    0.0000
    76.900,    0.0000
    77.000,    0.0000
    77.100,    0.0000
    77.204,    0.0000
    77.306,    0.0000
    77.400,    0.0000
    77.500,    0.0000
    77.600,    0.0000
    77.704,    0.0000
    77.806,    0.0000
    77.900,    0.0000
    78.000,    0.0000
