$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TSS,    TISS,
    24.100,    6.9229,    6.9203,
    24.202,    6.8618,    6.8613,
    24.302,    6.8029,    6.8006,
    24.400,    6.7458,    6.7437,
    24.500,    6.6899,    6.6874,
    24.600,    6.6346,    6.6321,
    24.704,    6.5753,    6.5737,
    24.802,    6.5040,    6.5012,
    24.900,    6.4326,    6.4295,
    25.000,    6.3515,    6.3492,
    25.100,    6.3163,    6.3137,
    25.202,    6.2402,    6.2395,
    25.302,    6.1930,    6.1912,
    25.400,    6.1506,    6.1491,
    25.500,    6.1130,    6.1118,
    25.600,    6.0935,    6.0930,
    25.702,    6.0953,    6.0950,
    25.802,    6.0908,    6.0893,
    25.900,    6.0692,    6.0686,
    26.000,    6.0348,    6.0337,
    26.100,    5.9783,    5.9775,
    26.202,    5.9765,    5.9757,
    26.302,    5.9759,    5.9746,
    26.400,    5.9751,    5.9739,
    26.500,    5.9463,    5.9450,
    26.600,    5.9092,    5.9079,
    26.708,    5.8705,    5.8687,
    26.802,    5.8314,    5.8304,
    26.900,    5.7835,    5.7826,
    27.000,    5.7323,    5.7298,
    27.100,    5.7642,    5.7634,
    27.201,    5.7949,    5.7945,
    27.302,    5.7572,    5.7558,
    27.400,    5.7181,    5.7171,
    27.500,    5.6829,    5.6818,
    27.600,    5.6505,    5.6497,
    27.704,    5.6211,    5.6203,
    27.802,    5.5858,    5.5846,
    27.900,    5.5571,    5.5570,
    28.000,    5.5373,    5.5360,
    28.100,    5.5109,    5.5093,
    28.208,    5.4837,    5.4816,
    28.302,    5.4567,    5.4543,
    28.400,    5.4309,    5.4301,
    28.500,    5.4077,    5.4067,
    28.600,    5.3842,    5.3830,
    28.701,    5.3587,    5.3585,
    28.802,    5.3352,    5.3342,
    28.900,    5.2998,    5.2989,
    29.000,    5.2744,    5.2727,
    29.100,    5.2470,    5.2459,
    29.208,    5.2194,    5.2173,
    29.302,    5.1898,    5.1889,
    29.400,    5.1643,    5.1613,
    29.500,    5.1377,    5.1352,
    29.600,    5.1113,    5.1102,
    29.701,    5.0882,    5.0879,
    29.802,    5.0635,    5.0625,
    29.900,    5.0309,    5.0299,
    30.000,    4.9952,    4.9938,
    30.100,    4.9663,    4.9649,
    30.202,    4.9314,    4.9311,
    30.302,    4.8966,    4.8950,
    30.400,    4.8597,    4.8583,
    30.500,    4.8222,    4.8206,
    30.600,    4.7881,    4.7867,
    30.702,    4.7563,    4.7561,
    30.802,    4.7169,    4.7153,
    30.900,    4.6782,    4.6769,
    31.000,    4.6340,    4.6317,
    31.100,    4.5976,    4.5957,
    31.202,    4.5577,    4.5578,
    31.300,    4.5160,    4.5140,
    31.400,    4.4437,    4.4418,
    31.500,    4.3815,    4.3788,
    31.600,    4.3370,    4.3348,
    31.706,    4.2424,    4.2371,
    31.802,    3.8939,    3.8900,
    31.900,    3.4210,    3.4167,
    32.000,    3.1913,    3.1769,
    32.100,    3.1272,    3.1263,
    32.208,    3.1051,    3.0941,
    32.302,    3.0534,    3.0484,
    32.400,    2.9832,    2.9802,
    32.500,    2.9066,    2.9028,
    32.600,    2.8520,    2.8493,
    32.702,    2.8141,    2.8121,
    32.802,    2.7815,    2.7782,
    32.900,    2.7575,    2.7563,
    33.000,    2.7407,    2.7382,
    33.100,    2.7243,    2.7220,
    33.202,    2.7100,    2.7082,
    33.302,    2.6979,    2.6949,
    33.400,    2.6844,    2.6833,
    33.500,    2.6815,    2.6798,
    33.600,    2.6791,    2.6778,
    33.708,    2.6768,    2.6758,
    33.802,    2.6611,    2.6603,
    33.900,    2.6503,    2.6492,
    34.000,    2.6440,    2.6426,
    34.100,    2.6447,    2.6443,
    34.202,    2.6486,    2.6481,
    34.301,    2.6557,    2.6555,
    34.400,    2.6613,    2.6608,
    34.500,    2.6846,    2.6847,
    34.600,    2.7198,    2.7200,
    34.702,    2.7419,    2.7426,
    34.801,    2.7500,    2.7507,
    34.900,    2.7336,    2.7338,
    35.000,    2.7376,    2.7375,
    35.100,    2.7133,    2.7132,
    35.208,    2.6908,    2.6893,
    35.302,    2.6523,    2.6522,
    35.400,    2.6102,    2.6099,
    35.500,    2.5424,    2.5424,
    35.600,    2.5255,    2.5263,
    35.708,    2.4882,    2.4895,
    35.801,    2.4723,    2.4729,
    35.900,    2.4411,    2.4410,
    36.000,    2.3762,    2.3758,
    36.100,    2.3028,    2.3024,
    36.208,    2.3380,    2.3366,
    36.301,    2.2725,    2.2724,
    36.400,    2.2848,    2.2845,
    36.500,    2.2547,    2.2534,
    36.600,    2.2305,    2.2296,
    36.703,    2.2002,    2.1990,
    36.801,    2.1426,    2.1416,
    36.900,    2.1028,    2.1021,
    37.000,    2.0783,    2.0767,
    37.100,    2.0536,    2.0519,
    37.207,    2.0351,    2.0321,
    37.301,    2.0192,    2.0186,
    37.400,    2.0035,    2.0037,
    37.500,    2.0002,    1.9991,
    37.600,    2.0020,    2.0009,
    37.703,    1.9969,    1.9963,
    37.801,    1.9885,    1.9878,
    37.900,    1.9798,    1.9790,
    38.000,    1.9728,    1.9717,
    38.100,    1.9659,    1.9647,
    38.203,    1.9584,    1.9576,
    38.302,    1.9538,    1.9530,
    38.400,    1.9482,    1.9478,
    38.500,    1.9433,    1.9423,
    38.600,    1.9349,    1.9340,
    38.704,    1.9249,    1.9246,
    38.802,    1.9109,    1.9105,
    38.900,    1.9028,    1.9026,
    39.000,    1.8925,    1.8916,
    39.100,    1.8925,    1.8922,
    39.207,    1.8943,    1.8936,
    39.302,    1.8964,    1.8959,
    39.400,    1.9004,    1.8999,
    39.500,    1.9069,    1.9067,
    39.600,    1.9203,    1.9205,
    39.701,    1.9271,    1.9269,
    39.802,    1.9240,    1.9239,
    39.900,    1.9213,    1.9210,
    40.000,    1.9189,    1.9183,
    40.100,    1.9127,    1.9121,
    40.205,    1.9032,    1.9034,
    40.302,    1.8979,    1.8969,
    40.400,    1.8919,    1.8917,
    40.500,    1.8858,    1.8854,
    40.600,    1.8934,    1.8930,
    40.702,    1.8845,    1.8846,
    40.802,    1.8473,    1.8469,
    40.900,    1.8306,    1.8300,
    41.000,    1.8183,    1.8175,
    41.100,    1.8020,    1.8017,
    41.207,    1.7831,    1.7811,
    41.301,    1.7649,    1.7646,
    41.400,    1.7515,    1.7510,
    41.500,    1.7410,    1.7404,
    41.600,    1.7271,    1.7264,
    41.708,    1.6860,    1.6851,
    41.802,    1.6823,    1.6818,
    41.900,    1.6776,    1.6772,
    42.000,    1.6702,    1.6697,
    42.100,    1.6609,    1.6604,
    42.206,    1.6500,    1.6499,
    42.300,    1.6640,    1.6633,
    42.400,    1.6485,    1.6480,
    42.500,    1.6329,    1.6317,
    42.600,    1.6181,    1.6182,
    42.702,    1.5981,    1.5974,
    42.800,    1.5714,    1.5707,
    42.900,    1.5577,    1.5569,
    43.000,    1.5445,    1.5431,
    43.100,    1.5278,    1.5278,
    43.208,    1.5123,    1.5107,
    43.302,    1.4969,    1.4965,
    43.400,    1.4819,    1.4797,
    43.500,    1.4649,    1.4642,
    43.600,    1.4539,    1.4533,
    43.703,    1.4401,    1.4396,
    43.801,    1.4210,    1.4205,
    43.900,    1.4104,    1.4100,
    44.000,    1.4016,    1.4009,
    44.100,    1.3907,    1.3905,
    44.208,    1.3787,    1.3774,
    44.302,    1.3669,    1.3667,
    44.400,    1.3572,    1.3558,
    44.500,    1.3467,    1.3463,
    44.600,    1.3361,    1.3357,
    44.703,    1.3075,    1.3071,
    44.801,    1.3082,    1.3080,
    44.900,    1.3054,    1.3053,
    45.000,    1.3032,    1.3029,
    45.100,    1.3005,    1.3003,
    45.208,    1.2989,    1.2987,
    45.302,    1.2974,    1.2972,
    45.400,    1.2957,    1.2954,
    45.500,    1.2933,    1.2932,
    45.600,    1.2879,    1.2880,
    45.706,    1.2924,    1.2924,
    45.801,    1.2968,    1.2970,
    45.900,    1.3030,    1.3029,
    46.000,    1.3064,    1.3066,
    46.100,    1.3088,    1.3089,
    46.208,    1.3106,    1.3106,
    46.302,    1.3102,    1.3101,
    46.400,    1.3154,    1.3155,
    46.500,    1.3184,    1.3185,
    46.600,    1.3222,    1.3222,
    46.707,    1.3302,    1.3302,
    46.801,    1.3684,    1.3684,
    46.900,    1.3680,    1.3679,
    47.000,    1.3655,    1.3653,
    47.100,    1.3598,    1.3597,
    47.207,    1.3549,    1.3548,
    47.302,    1.3504,    1.3504,
    47.400,    1.3497,    1.3496,
    47.500,    1.3738,    1.3737,
    47.600,    1.3622,    1.3621,
    47.708,    1.3973,    1.3972,
    47.802,    1.4015,    1.4014,
    47.900,    1.3902,    1.3901,
    48.000,    1.4093,    1.4092,
    48.100,    1.3869,    1.3868,
    48.208,    1.3579,    1.3579,
    48.302,    1.3286,    1.3285,
    48.400,    1.3135,    1.3135,
    48.500,    1.3074,    1.3074,
    48.600,    1.3105,    1.3104,
    48.708,    1.3536,    1.3535,
    48.802,    1.3134,    1.3134,
    48.900,    1.3126,    1.3125,
    49.000,    1.3153,    1.3151,
    49.100,    1.3170,    1.3169,
    49.203,    1.3177,    1.3176,
    49.302,    1.3176,    1.3175,
    49.400,    1.3163,    1.3162,
    49.500,    1.3151,    1.3150,
    49.600,    1.3188,    1.3187,
    49.707,    1.2999,    1.2997,
    49.802,    1.3066,    1.3064,
    49.900,    1.3095,    1.3094,
    50.000,    1.3109,    1.3107,
    50.100,    1.2948,    1.2947,
    50.202,    1.2977,    1.2975,
    50.301,    1.3012,    1.3011,
    50.400,    1.3049,    1.3048,
    50.500,    1.3083,    1.3083,
    50.600,    1.3041,    1.3041,
    50.702,    1.3187,    1.3187,
    50.800,    1.3074,    1.3074,
    50.900,    1.2937,    1.2936,
    51.000,    1.2883,    1.2882,
    51.100,    1.2949,    1.2948,
    51.204,    1.2966,    1.2966,
    51.302,    1.2908,    1.2906,
    51.400,    1.2883,    1.2882,
    51.500,    1.2787,    1.2786,
    51.600,    1.2811,    1.2810,
    51.704,    1.2867,    1.2866,
    51.806,    1.2864,    1.2863,
    51.900,    1.2732,    1.2729,
    52.000,    1.2675,    1.2673,
    52.100,    1.2598,    1.2595,
    52.204,    1.2444,    1.2442,
    52.305,    1.2527,    1.2525,
    52.400,    1.2477,    1.2474,
    52.500,    1.2529,    1.2527,
    52.600,    1.2466,    1.2465,
    52.703,    1.2332,    1.2331,
    52.801,    1.2177,    1.2178,
    52.900,    1.2145,    1.2145,
    53.000,    1.2093,    1.2093,
    53.100,    1.2094,    1.2095,
    53.202,    1.2114,    1.2114,
    53.300,    1.2150,    1.2150,
    53.400,    1.2163,    1.2163,
    53.500,    1.2199,    1.2199,
    53.600,    1.2264,    1.2264,
    53.701,    1.2332,    1.2333,
    53.802,    1.2379,    1.2380,
    53.900,    1.2429,    1.2429,
    54.000,    1.2516,    1.2516,
    54.100,    1.2566,    1.2567,
    54.201,    1.2609,    1.2610,
    54.300,    1.2650,    1.2651,
    54.400,    1.2688,    1.2689,
    54.500,    1.2717,    1.2719,
    54.600,    1.2780,    1.2783,
    54.701,    1.2884,    1.2887,
    54.802,    1.2984,    1.2993,
    54.900,    1.3133,    1.3142,
    55.000,    1.3404,    1.3419,
    55.100,    1.3731,    1.3749,
    55.202,    1.4172,    1.4192,
    55.302,    1.4776,    1.4808,
    55.400,    1.5595,    1.5609,
    55.500,    1.6282,    1.6328,
    55.600,    1.7085,    1.7137,
    55.704,    1.8095,    1.8106,
    55.802,    1.9497,    1.9565,
    55.900,    2.0972,    2.1006,
    56.000,    2.2851,    2.2881,
    56.100,    2.3838,    2.3865,
    56.201,    2.4621,    2.4627,
    56.302,    2.4550,    2.4574,
    56.400,    2.5031,    2.5046,
    56.500,    2.6054,    2.6073,
    56.600,    2.5420,    2.5435,
    56.701,    2.5566,    2.5574,
    56.802,    2.6499,    2.6498,
    56.900,    2.7415,    2.7402,
    57.000,    2.7677,    2.7665,
    57.100,    2.7852,    2.7827,
    57.202,    2.7778,    2.7766,
    57.302,    2.7649,    2.7622,
    57.400,    2.7196,    2.7178,
    57.500,    2.5037,    2.5005,
    57.600,    2.3441,    2.3418,
    57.700,    2.3456,    2.3440,
    57.800,    2.2663,    2.2646,
    57.900,    2.2002,    2.1977,
    58.000,    2.1457,    2.1426,
    58.100,    2.0937,    2.0906,
    58.202,    2.0498,    2.0497,
    58.302,    1.9887,    1.9847,
    58.400,    1.8987,    1.8963,
    58.500,    1.7425,    1.7412,
    58.600,    1.6725,    1.6715,
    58.702,    1.6553,    1.6541,
    58.801,    1.6331,    1.6326,
    58.900,    1.6200,    1.6195,
    59.000,    1.6136,    1.6131,
    59.100,    1.6081,    1.6075,
    59.203,    1.5989,    1.5983,
    59.301,    1.5869,    1.5865,
    59.400,    1.5817,    1.5815,
    59.500,    1.5438,    1.5436,
    59.600,    1.5456,    1.5455,
    59.700,    1.5433,    1.5433,
    59.802,    1.5473,    1.5472,
    59.900,    1.5448,    1.5447,
    60.000,    1.5432,    1.5430,
    60.100,    1.5430,    1.5429,
    60.204,    1.5377,    1.5376,
    60.301,    1.5250,    1.5250,
    60.400,    1.5141,    1.5141,
    60.500,    1.5127,    1.5128,
    60.600,    1.5185,    1.5186,
    60.700,    1.5202,    1.5203,
    60.802,    1.5214,    1.5214,
    60.900,    1.5212,    1.5211,
    61.000,    1.5218,    1.5215,
    61.100,    1.5189,    1.5187,
    61.201,    1.5101,    1.5100,
    61.304,    1.4947,    1.4947,
    61.400,    1.4877,    1.4877,
    61.500,    1.4920,    1.4921,
    61.600,    1.4945,    1.4946,
    61.701,    1.4996,    1.4997,
    61.803,    1.4999,    1.4998,
    61.900,    1.4980,    1.4978,
    62.000,    1.4961,    1.4959,
    62.100,    1.4953,    1.4950,
    62.201,    1.4889,    1.4887,
    62.308,    1.4783,    1.4781,
    62.400,    1.4671,    1.4670,
    62.500,    1.4684,    1.4685,
    62.600,    1.4695,    1.4696,
    62.704,    1.4741,    1.4743,
    62.803,    1.4769,    1.4770,
    62.900,    1.4783,    1.4783,
    63.000,    1.4779,    1.4778,
    63.100,    1.4761,    1.4759,
    63.201,    1.4769,    1.4768,
    63.306,    1.4779,    1.4779,
    63.400,    1.4760,    1.4759,
    63.500,    1.4689,    1.4689,
    63.600,    1.4612,    1.4613,
    63.701,    1.4602,    1.4600,
    63.803,    1.4787,    1.4790,
    63.900,    1.4859,    1.4864,
    64.000,    1.4965,    1.4971,
    64.100,    1.5071,    1.5081,
    64.201,    1.5103,    1.5108,
    64.304,    1.5253,    1.5264,
    64.400,    1.5402,    1.5414,
    64.500,    1.5547,    1.5558,
    64.600,    1.5680,    1.5697,
    64.707,    1.5867,    1.5886,
    64.801,    1.6052,    1.6060,
    64.900,    1.6251,    1.6261,
    65.000,    1.6458,    1.6463,
    65.100,    1.6661,    1.6668,
    65.201,    1.6822,    1.6826,
    65.303,    1.7009,    1.7014,
    65.400,    1.7297,    1.7302,
    65.500,    1.7430,    1.7435,
    65.600,    1.7558,    1.7565,
    65.701,    1.7761,    1.7768,
    65.802,    1.8122,    1.8131,
    65.900,    1.8629,    1.8635,
    66.000,    1.9074,    1.9081,
    66.100,    1.9402,    1.9410,
    66.201,    1.9606,    1.9611,
    66.304,    1.9747,    1.9750,
    66.400,    1.9754,    1.9758,
    66.500,    1.9434,    1.9439,
    66.600,    1.9034,    1.9041,
    66.703,    1.9018,    1.9024,
    66.800,    1.9187,    1.9193,
