$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    17.400,   22.2218,   12.2341,   10.9895,    3.2000,
    17.500,   22.2224,   12.3170,   10.8865,    3.1891,
    17.600,   22.2244,   12.4031,   10.7916,    3.1790,
    17.704,   22.2267,   12.4854,   10.6998,    3.1701,
    17.803,   22.2287,   12.5662,   10.5520,    3.1555,
    17.900,   22.2314,   12.6506,   10.5012,    3.1502,
    18.000,   22.2344,   12.7304,   10.4061,    3.1404,
    18.100,   22.2388,   12.8128,   10.3036,    3.1295,
    18.201,   22.2430,   12.8927,   10.1956,    3.1176,
    18.307,   22.2474,   12.9722,   10.0833,    3.1049,
    18.400,   22.2520,   13.0477,    9.9781,    3.0927,
    18.500,   22.2578,   13.1261,    9.8609,    3.0790,
    18.600,   22.2631,   13.2063,    9.7698,    3.0682,
    18.708,   22.2683,   13.2896,    9.6706,    3.0568,
    18.801,   22.2751,   13.3524,    9.5067,    3.0380,
    18.900,   22.2792,   13.4310,    9.4751,    3.0336,
    19.000,   22.2851,   13.5041,    9.3530,    3.0193,
    19.100,   22.2916,   13.5813,    9.2382,    3.0050,
    19.208,   22.2988,   13.6549,    9.1218,    2.9901,
    19.303,   22.3059,   13.7198,    9.0137,    2.9759,
    19.400,   22.3139,   13.7919,    8.8935,    2.9600,
    19.500,   22.3185,   13.8713,    8.7990,    2.9480,
    19.600,   22.3223,   13.9511,    8.7171,    2.9376,
    19.701,   22.3292,   14.0225,    8.6158,    2.9240,
    19.803,   22.3402,   14.0845,    8.4951,    2.9067,
    19.900,   22.3635,   14.0984,    8.2768,    2.8738,
    20.000,   22.3763,   14.1481,    8.1517,    2.8555,
    20.100,   22.3921,   14.1903,    8.0105,    2.8339,
    20.201,   22.4041,   14.2379,    7.8853,    2.8151,
    20.303,   22.4264,   14.2618,    7.7364,    2.7901,
    20.400,   22.4846,   14.1903,    7.5048,    2.7444,
    20.500,   22.4656,   14.3235,    7.4702,    2.7456,
    20.600,   22.4662,   14.4114,    7.3884,    2.7352,
    20.703,   22.5171,   14.3628,    7.1786,    2.6944,
    20.801,   22.5416,   14.3764,    7.0418,    2.6702,
    20.900,   22.5714,   14.3843,    6.8856,    2.6419,
    21.000,   22.5967,   14.3951,    6.7511,    2.6176,
    21.100,   22.6234,   14.4026,    6.6021,    2.5902,
    21.201,   22.6454,   14.4224,    6.4706,    2.5661,
    21.302,   22.6596,   14.4608,    6.3625,    2.5469,
    21.400,   22.6761,   14.4927,    6.2575,    2.5277,
    21.500,   22.6952,   14.5202,    6.1514,    2.5075,
    21.600,   22.6871,   14.6125,    6.1096,    2.5023,
    21.702,   22.7051,   14.6509,    6.0273,    2.4859,
    21.802,   22.7609,   14.5902,    5.8518,    2.4477,
    21.900,   22.7711,   14.6402,    5.7742,    2.4331,
    22.000,   22.7835,   14.6811,    5.6972,    2.4181,
    22.100,   22.8089,   14.7012,    5.6040,    2.3982,
    22.208,   22.8190,   14.7592,    5.5366,    2.3854,
    22.302,   22.8264,   14.8196,    5.4760,    2.3740,
    22.400,   22.8349,   14.8775,    5.4157,    2.3627,
    22.500,   22.8321,   14.9637,    5.3763,    2.3569,
    22.600,   22.8101,   15.0993,    5.3754,    2.3607,
    22.701,   22.8615,   15.0593,    5.2650,    2.3329,
    22.802,   22.9078,   15.0232,    5.1431,    2.3043,
    22.900,   22.9107,   15.0945,    5.0953,    2.2959,
    23.000,   22.9120,   15.1677,    5.0496,    2.2880,
    23.100,   22.9212,   15.2266,    4.9987,    2.2784,
    23.201,   22.9234,   15.3015,    4.9565,    2.2715,
    23.302,   22.9244,   15.3820,    4.9163,    2.2652,
    23.400,   22.9276,   15.4556,    4.8780,    2.2587,
    23.500,   22.9342,   15.5274,    4.8377,    2.2509,
    23.600,   22.9361,   15.6068,    4.8018,    2.2446,
    23.701,   22.9437,   15.6711,    4.7610,    2.2364,
    23.802,   22.9445,   15.7533,    4.7245,    2.2304,
    23.900,   22.9452,   15.8327,    4.6896,    2.2246,
    24.000,   22.9491,   15.9089,    4.6518,    2.2177,
    24.100,   22.9493,   15.9968,    4.6145,    2.2119,
    24.202,   22.9474,   16.0868,    4.5791,    2.2069,
    24.302,   22.9477,   16.1734,    4.5417,    2.2012,
    24.400,   22.9493,   16.2515,    4.5065,    2.1955,
    24.500,   22.9284,   16.3899,    4.4768,    2.1953,
    24.600,   22.9378,   16.4529,    4.4448,    2.1884,
    24.704,   22.9467,   16.5165,    4.4120,    2.1815,
    24.802,   22.9615,   16.5630,    4.3674,    2.1714,
    24.900,   22.9765,   16.6069,    4.3209,    2.1610,
    25.000,   22.9823,   16.6760,    4.2749,    2.1526,
    25.100,   22.9796,   16.7506,    4.2376,    2.1464,
    25.202,   22.9743,   16.8339,    4.1946,    2.1397,
    25.302,   22.9778,   16.8962,    4.1634,    2.1333,
    25.400,   22.9802,   16.9613,    4.1321,    2.1272,
    25.500,   22.9831,   17.0273,    4.1027,    2.1213,
    25.600,   22.9814,   17.1085,    4.0733,    2.1164,
    25.702,   22.9996,   17.1485,    4.0738,    2.1126,
    25.802,   23.0164,   17.1885,    4.0689,    2.1080,
    25.900,   23.0206,   17.2514,    4.0457,    2.1030,
    26.000,   23.0206,   17.3202,    4.0161,    2.0977,
    26.100,   23.0263,   17.3851,    3.9968,    2.0933,
    26.202,   23.0292,   17.4516,    3.9736,    2.0889,
    26.302,   23.0314,   17.5228,    3.9503,    2.0846,
    26.400,   23.0278,   17.5950,    3.9181,    2.0793,
    26.500,   23.0272,   17.6735,    3.8985,    2.0760,
    26.600,   23.0269,   17.7525,    3.8830,    2.0734,
    26.708,   23.0221,   17.8324,    3.8561,    2.0690,
    26.802,   23.0220,   17.9103,    3.8353,    2.0654,
    26.900,   23.0281,   17.9805,    3.8112,    2.0606,
    27.000,   23.0218,   18.0316,    3.7482,    2.0495,
    27.100,   23.0394,   18.1272,    3.7607,    2.0515,
    27.201,   23.0467,   18.2132,    3.7460,    2.0486,
