$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    30.600,   51.600,            0.000,
    30.702,   51.600,            0.000,
    30.802,   51.600,            0.000,
    30.900,   51.600,            0.000,
    31.000,   51.600,            0.000,
    31.100,   49.099,            0.000,
    31.202,   46.679,            0.000,
    31.300,   44.434,            0.000,
    31.400,   42.240,            0.000,
    31.500,   40.119,            0.000,
    31.600,   38.138,            0.000,
    31.706,   36.250,            0.000,
    31.802,   34.467,            0.000,
    31.900,   33.980,            0.000,
    32.000,   33.980,            0.000,
    32.100,   32.402,            0.000,
    32.208,   30.741,            0.000,
    32.302,   29.204,            0.000,
    32.400,   28.320,            0.000,
    32.500,   28.320,            0.000,
    32.600,   28.320,            0.000,
    32.702,   28.320,            0.000,
    32.802,   28.320,            0.000,
    32.900,   28.320,            0.000,
    33.000,   28.320,            0.000,
    33.100,   28.320,            0.000,
    33.202,   28.320,            0.000,
    33.302,   28.320,            0.000,
    33.400,   28.320,            0.000,
    33.500,   28.320,            0.000,
    33.600,   28.320,            0.000,
    33.708,   28.320,            0.000,
    33.802,   28.320,            0.000,
    33.900,   28.320,            0.000,
    34.000,   28.320,            0.000,
    34.100,   28.320,            0.000,
    34.202,   28.320,            0.000,
    34.301,   28.320,            0.000,
    34.400,   28.320,            0.000,
    34.500,   28.320,            0.000,
    34.600,   28.320,            0.000,
    34.702,   28.320,            0.000,
    34.801,   28.320,            0.000,
    34.900,   28.320,            0.000,
    35.000,   28.320,            0.000,
    35.100,   28.320,            0.000,
    35.208,   28.320,            0.000,
    35.302,   28.320,            0.000,
    35.400,   28.320,            0.000,
    35.500,   28.320,            0.000,
    35.600,   28.320,            0.000,
    35.708,   28.320,            0.000,
    35.801,   28.320,            0.000,
    35.900,   28.320,            0.000,
    36.000,   28.320,            0.000,
    36.100,   28.320,            0.000,
    36.208,   28.320,            0.000,
    36.301,   28.320,            0.000,
    36.400,   28.320,            0.000,
    36.500,   28.320,            0.000,
    36.600,   28.320,            0.000,
    36.703,   28.320,            0.000,
    36.801,   28.320,            0.000,
    36.900,   28.320,            0.000,
    37.000,   28.320,            0.000,
    37.100,   28.320,            0.000,
    37.207,   28.320,            0.000,
    37.301,   28.320,            0.000,
    37.400,   28.320,            0.000,
    37.500,   28.320,            0.000,
    37.600,   28.320,            0.000,
    37.703,   28.320,            0.000,
    37.801,   28.320,            0.000,
    37.900,   28.320,            0.000,
    38.000,   28.320,            0.000,
    38.100,   28.320,            0.000,
    38.203,   28.320,            0.000,
    38.302,   28.320,            0.000,
    38.400,   28.320,            0.000,
    38.500,   28.320,            0.000,
    38.600,   28.320,            0.000,
    38.704,   28.320,            0.000,
    38.802,   28.320,            0.000,
    38.900,   28.320,            0.000,
    39.000,   28.320,            0.000,
    39.100,   28.320,            0.000,
    39.207,   28.320,            0.000,
    39.302,   28.320,            0.000,
    39.400,   28.320,            0.000,
    39.500,   28.320,            0.000,
    39.600,   28.320,            0.000,
    39.701,   28.320,            0.000,
    39.802,   28.320,            0.000,
    39.900,   28.320,            0.000,
    40.000,   28.320,            0.000,
    40.100,   28.320,            0.000,
    40.205,   28.320,            0.000,
    40.302,   28.320,            0.000,
    40.400,   28.320,            0.000,
    40.500,   28.320,            0.000,
    40.600,   28.320,            0.000,
    40.702,   28.320,            0.000,
    40.802,   28.320,            0.000,
    40.900,   28.320,            0.000,
    41.000,   28.320,            0.000,
    41.100,   28.320,            0.000,
    41.207,   28.320,            0.000,
    41.301,   28.320,            0.000,
    41.400,   28.320,            0.000,
    41.500,   28.320,            0.000,
    41.600,   28.320,            0.000,
    41.708,   28.320,            0.000,
    41.802,   28.320,            0.000,
    41.900,   28.320,            0.000,
    42.000,   28.320,            0.000,
    42.100,   28.320,            0.000,
    42.206,   28.320,            0.000,
    42.300,   28.320,            0.000,
    42.400,   28.320,            0.000,
    42.500,   28.320,            0.000,
    42.600,   28.320,            0.000,
    42.702,   28.320,            0.000,
    42.800,   28.320,            0.000,
    42.900,   28.320,            0.000,
    43.000,   28.320,            0.000,
    43.100,   28.320,            0.000,
    43.208,   28.320,            0.000,
    43.302,   28.320,            0.000,
    43.400,   28.320,            0.000,
    43.500,   28.320,            0.000,
    43.600,   28.320,            0.000,
    43.703,   28.320,            0.000,
    43.801,   28.320,            0.000,
    43.900,   28.320,            0.000,
    44.000,   28.320,            0.000,
    44.100,   28.320,            0.000,
    44.208,   28.320,            0.000,
    44.302,   28.320,            0.000,
    44.400,   28.320,            0.000,
    44.500,   28.320,            0.000,
    44.600,   28.320,            0.000,
    44.703,   28.320,            0.000,
    44.801,   28.320,            0.000,
    44.900,   28.320,            0.000,
    45.000,   28.320,            0.000,
    45.100,   28.320,            0.000,
    45.208,   28.320,            0.000,
    45.302,   28.320,            0.000,
    45.400,   28.320,            0.000,
    45.500,   28.320,            0.000,
    45.600,   28.320,            0.000,
    45.706,   28.320,            0.000,
    45.801,   28.320,            0.000,
    45.900,   28.320,            0.000,
    46.000,   28.320,            0.000,
    46.100,   28.320,            0.000,
    46.208,   28.320,            0.000,
    46.302,   28.320,            0.000,
    46.400,   28.320,            0.000,
    46.500,   28.320,            0.000,
    46.600,   28.320,            0.000,
    46.707,   28.320,            0.000,
    46.801,   28.320,            0.000,
    46.900,   28.320,            0.000,
    47.000,   28.320,            0.000,
    47.100,   28.320,            0.000,
    47.207,   28.320,            0.000,
    47.302,   28.320,            0.000,
    47.400,   28.320,            0.000,
    47.500,   28.320,            0.000,
    47.600,   28.320,            0.000,
    47.708,   28.320,            0.000,
    47.802,   28.320,            0.000,
    47.900,   28.320,            0.000,
    48.000,   28.320,            0.000,
    48.100,   28.320,            0.000,
    48.208,   28.320,            0.000,
    48.302,   28.320,            0.000,
    48.400,   28.320,            0.000,
    48.500,   28.320,            0.000,
    48.600,   28.320,            0.000,
    48.708,   28.320,            0.000,
    48.802,   28.320,            0.000,
    48.900,   28.320,            0.000,
    49.000,   28.320,            0.000,
    49.100,   28.320,            0.000,
    49.203,   28.320,            0.000,
    49.302,   28.320,            0.000,
    49.400,   28.320,            0.000,
    49.500,   28.320,            0.000,
    49.600,   28.320,            0.000,
    49.707,   28.320,            0.000,
    49.802,   28.320,            0.000,
    49.900,   28.320,            0.000,
    50.000,   28.320,            0.000,
    50.100,   28.320,            0.000,
    50.202,   28.320,            0.000,
    50.301,   28.320,            0.000,
    50.400,   28.320,            0.000,
    50.500,   28.320,            0.000,
    50.600,   28.320,            0.000,
    50.702,   28.320,            0.000,
    50.800,   28.320,            0.000,
    50.900,   28.320,            0.000,
    51.000,   28.320,            0.000,
    51.100,   28.320,            0.000,
    51.204,   28.320,            0.000,
    51.302,   28.320,            0.000,
    51.400,   28.320,            0.000,
    51.500,   28.320,            0.000,
    51.600,   28.320,            0.000,
    51.704,   28.320,            0.000,
    51.806,   28.320,            0.000,
    51.900,   28.320,            0.000,
    52.000,   28.320,            0.000,
    52.100,   28.320,            0.000,
    52.204,   28.320,            0.000,
    52.305,   28.320,            0.000,
    52.400,   28.320,            0.000,
    52.500,   28.320,            0.000,
    52.600,   28.320,            0.000,
    52.703,   28.320,            0.000,
    52.801,   28.320,            0.000,
    52.900,   28.320,            0.000,
    53.000,   28.320,            0.000,
    53.100,   28.320,            0.000,
    53.202,   28.320,            0.000,
    53.300,   28.320,            0.000,
    53.400,   28.320,            0.000,
    53.500,   28.320,            0.000,
    53.600,   28.320,            0.000,
    53.701,   28.320,            0.000,
    53.802,   28.320,            0.000,
    53.900,   28.320,            0.000,
    54.000,   28.320,            0.000,
    54.100,   28.320,            0.000,
    54.201,   28.320,            0.000,
    54.300,   28.320,            0.000,
    54.400,   28.320,            0.000,
    54.500,   28.320,            0.000,
    54.600,   28.320,            0.000,
    54.701,   28.320,            0.000,
    54.802,   28.320,            0.000,
    54.900,   28.320,            0.000,
    55.000,   28.320,            0.000,
    55.100,   28.320,            0.000,
    55.202,   28.320,            0.000,
    55.302,   28.320,            0.000,
    55.400,   28.320,            0.000,
    55.500,   28.320,            0.000,
    55.600,   28.320,            0.000,
    55.704,   28.320,            0.000,
    55.802,   28.320,            0.000,
    55.900,   28.320,            0.000,
    56.000,   28.320,            0.000,
    56.100,   28.320,            0.000,
    56.201,   28.320,            0.000,
    56.302,   28.320,            0.000,
    56.400,   28.320,            0.000,
    56.500,   28.320,            0.000,
    56.600,   28.320,            0.000,
    56.701,   28.320,            0.000,
    56.802,   28.320,            0.000,
    56.900,   28.320,            0.000,
    57.000,   28.320,            0.000,
    57.100,   28.320,            0.000,
    57.202,   28.320,            0.000,
    57.302,   28.320,            0.000,
    57.400,   28.320,            0.000,
    57.500,   28.320,            0.000,
    57.600,   28.320,            0.000,
    57.700,   28.320,            0.000,
    57.800,   28.320,            0.000,
    57.900,   28.320,            0.000,
    58.000,   28.320,            0.000,
    58.100,   28.320,            0.000,
    58.202,   28.320,            0.000,
    58.302,   28.320,            0.000,
    58.400,   28.320,            0.000,
    58.500,   28.320,            0.000,
    58.600,   28.320,            0.000,
    58.702,   28.320,            0.000,
    58.801,   28.320,            0.000,
    58.900,   28.320,            0.000,
    59.000,   28.320,            0.000,
    59.100,   28.320,            0.000,
    59.203,   28.320,            0.000,
    59.301,   28.320,            0.000,
    59.400,   28.320,            0.000,
    59.500,   28.320,            0.000,
    59.600,   28.320,            0.000,
    59.700,   28.320,            0.000,
    59.802,   28.320,            0.000,
    59.900,   28.320,            0.000,
    60.000,   28.320,            0.000,
    60.100,   28.320,            0.000,
    60.204,   28.320,            0.000,
    60.301,   28.320,            0.000,
    60.400,   28.320,            0.000,
    60.500,   28.320,            0.000,
    60.600,   28.320,            0.000,
